"",BBFI1.Q.N.DE.W1.S13.S1.K7.A.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S13.S1.K7.A.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Assets - Revaluations - resident holder: General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:58,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-1,
2013-10,-,Nothing exists
2014-01,1,
2014-04,2,
2014-07,15,
