"",BBK01.OEAO04J,BBK01.OEAO04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:16,
2002-01,-0.023,
2002-04,-0.141,
2002-07,-,Nothing exists
2002-10,0.044,
2003-01,-0.018,
2003-04,-0.023,
2003-07,0.020,
2003-10,-0.033,
2004-01,0.026,
2004-04,0.005,
2004-07,0.059,
2004-10,0.072,
2005-01,-0.027,
2005-04,0.041,
2005-07,-0.026,
2005-10,0.013,
2006-01,0.011,
2006-04,-0.020,
2006-07,-0.044,
2006-10,-0.139,
2007-01,-0.105,
2007-04,-0.048,
2007-07,-0.113,
2007-10,-0.097,
2008-01,-0.174,
2008-04,-0.194,
2008-07,-0.219,
2008-10,0.094,
2009-01,0.098,
2009-04,-0.062,
2009-07,0.018,
2009-10,-0.124,
2010-01,-0.083,
2010-04,-0.067,
2010-07,-0.077,
2010-10,-0.028,
2011-01,-0.019,
2011-04,-0.043,
2011-07,-0.052,
2011-10,-0.014,
2012-01,0.064,
2012-04,0.010,
2012-07,-0.042,
2012-10,-0.039,
2013-01,-0.041,
2013-04,-0.039,
2013-07,-0.008,
2013-10,0.024,
2014-01,-0.213,
2014-04,-0.025,
2014-07,-0.001,
