"",BBK01.OUC303,BBK01.OUC303_FLAGS
"",Savings deposits of local government and local government associations / Total / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:25:48,
1999-01,0.065,
1999-02,0.092,
1999-03,0.099,
1999-04,0.111,
1999-05,0.111,
1999-06,0.091,
1999-07,0.084,
1999-08,0.077,
1999-09,0.069,
1999-10,0.063,
1999-11,0.059,
1999-12,0.053,
2000-01,0.046,
2000-02,0.048,
2000-03,0.042,
2000-04,0.042,
2000-05,0.041,
2000-06,0.039,
2000-07,0.038,
2000-08,0.038,
2000-09,0.038,
2000-10,0.037,
2000-11,0.036,
2000-12,0.037,
2001-01,0.033,
2001-02,0.033,
2001-03,0.028,
2001-04,0.028,
2001-05,0.029,
2001-06,0.029,
2001-07,0.028,
2001-08,0.027,
2001-09,0.026,
2001-10,0.044,
2001-11,0.042,
2001-12,0.015,
2002-01,0.014,
2002-02,0.014,
2002-03,0.014,
2002-04,0.013,
2002-05,0.013,
2002-06,0.014,
2002-07,0.013,
2002-08,0.017,
2002-09,0.017,
2002-10,0.014,
2002-11,0.015,
2002-12,0.023,
2003-01,0.030,
2003-02,0.032,
2003-03,0.038,
2003-04,0.038,
2003-05,0.037,
2003-06,0.034,
2003-07,0.085,
2003-08,0.111,
2003-09,0.132,
2003-10,0.134,
2003-11,0.132,
2003-12,0.131,
2004-01,0.137,
2004-02,0.153,
2004-03,0.183,
2004-04,0.218,
2004-05,0.227,
2004-06,0.236,
2004-07,0.243,
2004-08,0.272,
2004-09,0.275,
2004-10,0.395,
2004-11,0.403,
2004-12,0.497,
2005-01,0.411,
2005-02,0.455,
2005-03,0.394,
2005-04,0.385,
2005-05,0.397,
2005-06,0.477,
2005-07,0.510,
2005-08,0.681,
2005-09,0.707,
2005-10,0.692,
2005-11,0.434,
2005-12,0.282,
2006-01,0.218,
2006-02,0.234,
2006-03,0.216,
2006-04,0.199,
2006-05,0.261,
2006-06,0.275,
2006-07,0.284,
2006-08,0.303,
2006-09,0.330,
2006-10,0.314,
2006-11,0.295,
2006-12,0.200,
2007-01,0.216,
2007-02,0.248,
2007-03,0.284,
2007-04,0.269,
2007-05,0.212,
2007-06,0.165,
2007-07,0.105,
2007-08,0.078,
2007-09,0.042,
2007-10,0.036,
2007-11,0.032,
2007-12,0.032,
2008-01,0.030,
2008-02,0.030,
2008-03,0.032,
2008-04,0.026,
2008-05,0.025,
2008-06,0.024,
2008-07,0.022,
2008-08,0.025,
2008-09,0.024,
2008-10,0.022,
2008-11,0.019,
2008-12,0.028,
2009-01,0.089,
2009-02,0.123,
2009-03,0.125,
2009-04,0.104,
2009-05,0.115,
2009-06,0.119,
2009-07,0.169,
2009-08,0.213,
2009-09,0.173,
2009-10,0.177,
2009-11,0.207,
2009-12,0.194,
2010-01,0.221,
2010-02,0.225,
2010-03,0.269,
2010-04,0.272,
2010-05,0.316,
2010-06,0.318,
2010-07,0.287,
2010-08,0.272,
2010-09,0.262,
2010-10,0.256,
2010-11,0.276,
2010-12,0.251,
2011-01,0.262,
2011-02,0.315,
2011-03,0.316,
2011-04,0.302,
2011-05,0.227,
2011-06,0.207,
2011-07,0.141,
2011-08,0.105,
2011-09,0.107,
2011-10,0.100,
2011-11,0.091,
2011-12,0.088,
2012-01,0.088,
2012-02,0.098,
2012-03,0.104,
2012-04,0.107,
2012-05,0.128,
2012-06,0.146,
2012-07,0.193,
2012-08,0.209,
2012-09,0.231,
2012-10,0.236,
2012-11,0.237,
2012-12,0.246,
2013-01,0.263,
2013-02,0.261,
2013-03,0.264,
2013-04,0.280,
2013-05,0.293,
2013-06,0.303,
2013-07,0.311,
2013-08,0.307,
2013-09,0.318,
2013-10,0.301,
2013-11,0.296,
2013-12,0.276,
2014-01,0.253,
2014-02,0.243,
2014-03,0.235,
2014-04,0.218,
2014-05,0.211,
2014-06,0.204,
2014-07,0.204,
2014-08,0.193,
2014-09,0.189,
2014-10,0.183,
2014-11,0.182,
2014-12,0.187,Provisional value
