"",BBK01.OEYB04H,BBK01.OEYB04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:30,
2002-01,135.587,
2002-04,132.497,
2002-07,132.733,
2002-10,131.893,
2003-01,129.527,
2003-04,128.268,
2003-07,126.893,
2003-10,134.358,
2004-01,131.359,
2004-04,129.616,
2004-07,127.859,
2004-10,123.356,
2005-01,121.921,
2005-04,119.607,
2005-07,118.194,
2005-10,117.201,
2006-01,119.068,
2006-04,116.626,
2006-07,115.820,
2006-10,114.154,
2007-01,115.036,
2007-04,113.575,
2007-07,112.400,
2007-10,105.620,
2008-01,114.173,
2008-04,113.173,
2008-07,113.375,
2008-10,111.097,
2009-01,109.988,
2009-04,109.621,
2009-07,126.383,
2009-10,126.636,
2010-01,123.302,
2010-04,124.686,
2010-07,123.427,
2010-10,119.757,
2011-01,116.789,
2011-04,117.932,
2011-07,118.248,
2011-10,118.459,
2012-01,116.357,
2012-04,116.467,
2012-07,115.226,
2012-10,112.663,
2013-01,111.919,
2013-04,110.386,
2013-07,104.111,
2013-10,99.491,
2014-01,99.203,
2014-04,97.649,
2014-07,97.848,
