"",BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:24,
1991-01,14632.115,
1991-04,1155.156,
1991-07,-625.013,
1991-10,4217.061,
1992-01,4260.704,
1992-04,3300.284,
1992-07,22862.167,
1992-10,370.894,
1993-01,10917.088,
1993-04,5139.531,
1993-07,7942.459,
1993-10,14773.624,
1994-01,8879.037,
1994-04,8710.576,
1994-07,12206.219,
1994-10,21309.015,
1995-01,24757.094,
1995-04,19246.868,
1995-07,13457.975,
1995-10,11222.203,
1996-01,5749.895,
1996-04,10534.908,
1996-07,-5402.847,
1996-10,22044.456,
1997-01,39856.490,
1997-04,31987.288,
1997-07,-2392.337,
1997-10,29240.769,
1998-01,47516.465,
1998-04,33253.543,
1998-07,12380.494,
1998-10,48956.531,
1999-01,47902.873,
1999-04,2271.307,
1999-07,14278.221,
1999-10,11092.144,
2000-01,97273.834,
2000-04,-6724.323,
2000-07,4199.248,
2000-10,29944.384,
2001-01,124307.543,
2001-04,-15620.658,
2001-07,-344.258,
2001-10,-38917.664,
2002-01,7705.361,
2002-04,5768.353,
2002-07,35794.287,
2002-10,-13739.876,
2003-01,39642.156,
2003-04,4453.951,
2003-07,10347.914,
2003-10,-27899.147,
2004-01,61877.832,
2004-04,-46727.261,
2004-07,29870.576,
2004-10,-12376.596,
2005-01,76611.677,
2005-04,-24408.679,
2005-07,14367.423,
2005-10,-15144.202,
2006-01,61846.310,
2006-04,7033.517,
2006-07,9258.501,
2006-10,-15877.572,
2007-01,43912.871,
2007-04,37317.444,
2007-07,59969.641,
2007-10,-47562.567,
2008-01,136874.045,
2008-04,-20806.033,
2008-07,11968.780,
2008-10,-103914.311,
2009-01,-48071.249,
2009-04,10681.834,
2009-07,-61924.039,
2009-10,-33337.481,
2010-01,34714.544,
2010-04,78044.623,
2010-07,22176.508,
2010-10,33851.950,
2011-01,-32101.321,
2011-04,-24309.989,
2011-07,111803.451,
2011-10,-64338.719,
2012-01,190796.073,
2012-04,22125.992,
2012-07,-38619.291,
2012-10,-96786.909,
2013-01,-34495.826,
2013-04,4663.761,
2013-07,-71179.596,
2013-10,-96731.066,
2014-01,5009.304,Provisional value
2014-04,14698.160,Provisional value
2014-07,-19114.672,Provisional value
2014-10,-56031.052,Provisional value
