"",BBK01.OECK01O,BBK01.OECK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:38,
2002-01,0.312,
2002-04,0.314,
2002-07,0.334,
2002-10,0.317,
2003-01,0.360,
2003-04,0.291,
2003-07,0.295,
2003-10,0.298,
2004-01,0.314,
2004-04,0.290,
2004-07,0.272,
2004-10,0.294,
2005-01,0.301,
2005-04,0.305,
2005-07,0.299,
2005-10,0.306,
2006-01,0.301,
2006-04,0.315,
2006-07,0.313,
2006-10,0.335,
2007-01,0.335,
2007-04,0.346,
2007-07,0.373,
2007-10,0.409,
2008-01,0.398,
2008-04,0.400,
2008-07,0.438,
2008-10,0.505,
2009-01,0.488,
2009-04,0.442,
2009-07,0.430,
2009-10,0.434,
2010-01,0.427,
2010-04,0.438,
2010-07,0.441,
2010-10,0.431,
2011-01,0.413,
2011-04,0.388,
2011-07,0.398,
2011-10,0.390,
2012-01,0.365,
2012-04,0.376,
2012-07,0.377,
2012-10,0.371,
2013-01,0.390,
2013-04,0.377,
2013-07,0.375,
2013-10,0.384,
2014-01,0.384,
2014-04,0.403,
2014-07,0.412,
