"",BBK01.OEBO04M,BBK01.OEBO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:02,
2002-01,-0.166,
2002-04,-0.391,
2002-07,-0.061,
2002-10,0.138,
2003-01,0.030,
2003-04,-0.115,
2003-07,0.068,
2003-10,-0.091,
2004-01,-0.134,
2004-04,-0.086,
2004-07,0.234,
2004-10,0.104,
2005-01,-0.041,
2005-04,-0.042,
2005-07,-0.169,
2005-10,-0.114,
2006-01,-0.080,
2006-04,-0.091,
2006-07,-0.131,
2006-10,-0.117,
2007-01,0.214,
2007-04,-0.062,
2007-07,-0.137,
2007-10,0.077,
2008-01,-0.080,
2008-04,0.110,
2008-07,-0.160,
2008-10,0.433,
2009-01,0.075,
2009-04,0.259,
2009-07,0.544,
2009-10,-0.305,
2010-01,-0.013,
2010-04,0.089,
2010-07,0.039,
2010-10,0.249,
2011-01,0.368,
2011-04,-0.192,
2011-07,-0.027,
2011-10,-0.046,
2012-01,0.316,
2012-04,-0.092,
2012-07,-0.160,
2012-10,-0.197,
2013-01,-0.351,
2013-04,-0.230,
2013-07,-0.223,
2013-10,-0.104,
2014-01,-0.105,
2014-04,-0.177,
2014-07,0.285,
