"",BBK01.OEAC06I,BBK01.OEAC06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:05,
2002-01,0.312,
2002-04,0.308,
2002-07,0.327,
2002-10,0.294,
2003-01,0.293,
2003-04,0.288,
2003-07,0.281,
2003-10,0.264,
2004-01,0.267,
2004-04,0.268,
2004-07,0.272,
2004-10,0.259,
2005-01,0.226,
2005-04,0.227,
2005-07,0.220,
2005-10,0.214,
2006-01,0.212,
2006-04,0.211,
2006-07,0.207,
2006-10,0.195,
2007-01,0.199,
2007-04,0.204,
2007-07,0.206,
2007-10,0.199,
2008-01,0.192,
2008-04,0.191,
2008-07,0.192,
2008-10,0.178,
2009-01,0.163,
2009-04,0.167,
2009-07,0.155,
2009-10,0.152,
2010-01,0.140,
2010-04,0.145,
2010-07,0.154,
2010-10,0.166,
2011-01,0.167,
2011-04,0.170,
2011-07,0.206,
2011-10,0.232,
2012-01,0.229,
2012-04,0.234,
2012-07,0.233,
2012-10,0.230,
2013-01,0.228,
2013-04,0.247,
2013-07,0.243,
2013-10,0.245,
2014-01,0.250,
2014-04,0.260,
2014-07,0.263,
