"",BBEX3.M.SRD.EUR.CA.AA.A01,BBEX3.M.SRD.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Suriname / EUR 1 = SRD ... (buying),
unit,SRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:00,
2004-01,3.366,
2004-02,3.360,
2004-03,3.290,
2004-04,3.193,
2004-05,3.306,
2004-06,3.286,
2004-07,3.247,
2004-08,3.253,
2004-09,3.327,
2004-10,3.432,
2004-11,3.577,
2004-12,3.647,
2005-01,3.493,
2005-02,3.528,
2005-03,3.469,
2005-04,3.459,
2005-05,3.367,
2005-06,3.255,
2005-07,3.267,
2005-08,3.289,
2005-09,3.257,
2005-10,3.277,
2005-11,3.184,
2005-12,3.193,
2006-01,3.262,
2006-02,3.200,
2006-03,3.266,
2006-04,3.364,
2006-05,3.479,
2006-06,3.395,
2006-07,3.432,
2006-08,3.474,
2006-09,3.445,
2006-10,3.446,
2006-11,3.566,
2006-12,3.570,
2007-01,3.515,
2007-02,3.585,
2007-03,3.618,
2007-04,3.697,
2007-05,3.637,
2007-06,3.650,
2007-07,3.702,
2007-08,3.688,
2007-09,3.843,
2007-10,3.904,
2007-11,3.994,
2007-12,3.982,
2008-01,4.014,
2008-02,4.098,
2008-03,4.281,
2008-04,4.220,
2008-05,4.214,
2008-06,4.268,
2008-07,4.225,
2008-08,4.003,
2008-09,3.889,
2008-10,3.532,
2008-11,3.496,
2008-12,3.821,
2009-01,3.553,
2009-02,3.464,
2009-03,3.575,
2009-04,3.595,
2009-05,3.755,
2009-06,3.810,
2009-07,3.822,
2009-08,3.893,
2009-09,3.943,
2009-10,4.008,
2009-11,4.043,
2009-12,3.886,
2010-01,3.794,
2010-02,3.656,
2010-03,3.654,
2010-04,3.592,
2010-05,3.356,
2010-06,3.306,
2010-07,3.521,
2010-08,3.442,
2010-09,3.689,
2010-10,3.755,
2010-11,3.563,
2010-12,3.599,
2011-01,4.456,comment
2011-02,4.476,
2011-03,4.579,
2011-04,4.808,
2011-05,4.638,
2011-06,4.688,
2011-07,4.635,
2011-08,4.708,
2011-09,4.425,
2011-10,4.602,
2011-11,4.334,
2011-12,4.189,
2012-01,4.261,
2012-02,4.373,
2012-03,4.313,
2012-04,4.299,
2012-05,4.042,
2012-06,4.036,
2012-07,3.980,
2012-08,4.077,
2012-09,4.184,
2012-10,4.213,
2012-11,4.223,
2012-12,4.284,
2013-01,4.401,
2013-02,4.257,
2013-03,4.204,
2013-04,4.262,
2013-05,4.207,
2013-06,4.235,
2013-07,4.317,
2013-08,4.311,
2013-09,4.400,
2013-10,4.470,
2013-11,4.417,
2013-12,4.479,
2014-01,4.423,
2014-02,4.438,
2014-03,4.472,
2014-04,4.493,
2014-05,4.424,
2014-06,4.427,
2014-07,4.355,
2014-08,4.283,
2014-09,4.128,
2014-10,4.094,
2014-11,4.056,
2014-12,3.952,
2015-01,3.677,
2015-02,3.678,
"","General: Currency conversion with effect from 1 January 2004 at the rate of SRG 1,000 (Suriname guilder) = SRD 1 (Suriname dollar).",
"","Source: Centrale Bank van Suriname, Paramaribo",
"","Comment on 2011-01: On 20 January 2011, the exchange rates (buying/selling rate) for the US dollar were changed from USD 1 = SRD 2.710 / 2.780 to USD 1 = SRD 3.250 / 3.350, corresponding to a depreciation of the Suriname dollar against the US dollar of 16.8% (middle rate). We recorded the following exchange rates for the euro (buying/selling): 19 January 2011: EUR 1 = SRD 3.624 / 3.718 20 January 2011: EUR 1 = SRD 4.389 / 4.525.",
