"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.XDC._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F3.L.XDC._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in Euro / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:47,
1991-01,1485.058,
1991-02,3047.017,
1991-03,2294.890,
1991-04,3114.763,
1991-05,3234.967,
1991-06,2500.280,
1991-07,2838.334,
1991-08,2276.236,
1991-09,1671.778,
1991-10,3396.787,
1991-11,3141.890,
1991-12,3127.923,
1992-01,3578.747,
1992-02,5478.942,
1992-03,2821.780,
1992-04,3024.094,
1992-05,1573.599,
1992-06,4799.872,
1992-07,3149.252,
1992-08,2797.315,
1992-09,2995.758,
1992-10,7582.510,
1992-11,7891.058,
1992-12,6706.855,
1993-01,5690.752,
1993-02,13180.176,
1993-03,14215.464,
1993-04,9339.670,
1993-05,7421.210,
1993-06,4884.863,
1993-07,6902.826,
1993-08,5998.421,
1993-09,8747.160,
1993-10,10189.828,
1993-11,10598.972,
1993-12,5616.779,
1994-01,11212.281,
1994-02,9777.641,
1994-03,7097.082,
1994-04,4991.163,
1994-05,6196.289,
1994-06,3934.258,
1994-07,6485.224,
1994-08,4096.661,
1994-09,4550.797,
1994-10,7494.458,
1994-11,5852.242,
1994-12,6307.956,
1995-01,8339.448,
1995-02,8642.651,
1995-03,8109.223,
1995-04,9121.472,
1995-05,10160.507,
1995-06,9592.181,
1995-07,9796.962,
1995-08,8665.901,
1995-09,11066.418,
1995-10,8245.752,
1995-11,13534.387,
1995-12,9471.071,
1996-01,10239.685,
1996-02,17695.300,
1996-03,9554.147,
1996-04,7843.113,
1996-05,11746.121,
1996-06,5473.978,
1996-07,8797.029,
1996-08,6597.063,
1996-09,9146.752,
1996-10,11930.633,
1996-11,7702.775,
1996-12,7082.715,
1997-01,10160.530,
1997-02,9402.214,
1997-03,11335.344,
1997-04,8568.647,
1997-05,7621.589,
1997-06,9478.138,
1997-07,14492.454,
1997-08,7632.729,
1997-09,9933.252,
1997-10,13698.087,
1997-11,7732.308,
1997-12,7036.481,
1998-01,9740.699,
1998-02,15835.978,
1998-03,14262.253,
1998-04,13639.162,
1998-05,10757.474,
1998-06,14634.185,
1998-07,18700.438,
1998-08,10895.471,
1998-09,6659.564,
1998-10,6646.917,
1998-11,12520.746,
1998-12,9382.167,
1999-01,47331.751,
1999-02,49852.798,
1999-03,57457.100,
1999-04,53975.864,
1999-05,70870.646,
1999-06,58766.493,
1999-07,60438.302,
1999-08,46551.327,
1999-09,59037.539,
1999-10,53604.564,
1999-11,60443.145,
1999-12,43465.531,
2000-01,67953.761,
2000-02,69331.555,
2000-03,73297.938,
2000-04,54070.238,
2000-05,75605.862,
2000-06,70118.582,
2000-07,64377.734,
2000-08,65679.370,
2000-09,86186.586,
2000-10,76276.970,
2000-11,90119.144,
2000-12,75265.851,
2001-01,137495.210,
2001-02,124733.457,
2001-03,122072.024,
2001-04,97754.053,
2001-05,99564.277,
2001-06,106488.293,
2001-07,94596.222,
2001-08,87927.131,
2001-09,95684.145,
2001-10,120424.650,
2001-11,124402.844,
2001-12,81950.757,
2002-01,119169.881,
2002-02,100340.565,
2002-03,105575.760,
2002-04,95343.963,
2002-05,101859.413,
2002-06,88474.937,
2002-07,118695.437,
2002-08,102339.836,
2002-09,122378.503,
2002-10,138770.140,
2002-11,113288.935,
2002-12,89488.723,
2003-01,132605.722,
2003-02,111585.316,
2003-03,142113.543,
2003-04,122084.235,
2003-05,134282.685,
2003-06,127206.015,
2003-07,148472.654,
2003-08,113383.751,
2003-09,133476.847,
2003-10,131214.210,
2003-11,94438.986,
2003-12,87579.308,
2004-01,133998.793,
2004-02,119477.470,
2004-03,154266.878,
2004-04,135111.248,
2004-05,122350.460,
2004-06,118228.303,
2004-07,121419.110,
2004-08,106176.970,
2004-09,138698.842,
2004-10,140637.637,
2004-11,140514.118,
2004-12,130886.015,
2005-01,153879.375,
2005-02,149468.364,
2005-03,150005.170,
2005-04,133900.293,
2005-05,132854.633,
2005-06,176410.494,
2005-07,112141.804,
2005-08,97126.773,
2005-09,125312.417,
2005-10,133227.588,
2005-11,140092.934,
2005-12,125551.918,
2006-01,134059.642,
2006-02,125579.880,
2006-03,141602.324,
2006-04,112701.769,
2006-05,132211.780,
2006-06,119980.023,
2006-07,109367.025,
2006-08,91746.942,
2006-09,125570.837,
2006-10,133127.715,
2006-11,135448.999,
2006-12,100432.319,
2007-01,136056.367,
2007-02,119582.002,
2007-03,139560.094,
2007-04,106639.818,
2007-05,117679.356,
2007-06,131668.284,
2007-07,115523.419,
2007-08,96564.183,
2007-09,93647.008,
2007-10,112020.042,
2007-11,98931.667,
2007-12,72984.099,
2008-01,127888.726,
2008-02,121477.696,
2008-03,91003.588,
2008-04,95095.641,
2008-05,106648.812,
2008-06,103415.683,
2008-07,84964.658,
2008-08,57082.126,
2008-09,84532.774,
2008-10,70850.835,
2008-11,63996.453,
2008-12,63508.897,
2009-01,79869.248,
2009-02,87048.456,
2009-03,97735.044,
2009-04,92985.024,
2009-05,109014.682,
2009-06,87408.700,
2009-07,122911.820,
2009-08,71273.365,
2009-09,101235.660,
2009-10,106644.148,
2009-11,98253.226,
2009-12,81504.437,
2010-01,120625.789,
2010-02,117488.958,
2010-03,136731.736,
2010-04,111959.854,
2010-05,93545.173,
2010-06,98174.679,
2010-07,86109.432,
2010-08,73351.159,
2010-09,120622.042,
2010-10,155952.884,
2010-11,92421.057,
2010-12,57147.779,
2011-01,108306.322,
2011-02,113474.786,
2011-03,126292.195,
2011-04,93289.298,
2011-05,94585.123,
2011-06,109965.280,
2011-07,85808.477,
2011-08,87571.813,
2011-09,99503.314,
2011-10,77520.189,
2011-11,90334.698,
2011-12,70817.553,
2012-01,114780.293,
2012-02,118185.749,
2012-03,171375.220,
2012-04,147390.171,
2012-05,104652.936,
2012-06,107113.726,
2012-07,183475.607,
2012-08,86726.227,
2012-09,115389.557,
2012-10,114161.490,
2012-11,100959.540,
2012-12,146825.271,
2013-01,146920.086,
2013-02,129187.321,
2013-03,126255.672,
2013-04,132358.400,
2013-05,142773.378,
2013-06,119274.185,
2013-07,117099.922,
2013-08,87418.881,
2013-09,116852.059,
2013-10,135605.460,
2013-11,122536.795,
2013-12,96520.415,
2014-01,155068.373,
2014-02,146218.435,Provisional value
2014-03,167678.069,Provisional value
2014-04,153260.491,Provisional value
2014-05,159224.349,Provisional value
2014-06,138108.105,Provisional value
2014-07,124676.440,Provisional value
2014-08,76861.971,Provisional value
2014-09,141694.098,
2014-10,118599.074,
2014-11,111270.488,
2014-12,74886.809,Provisional value
