"",BBK01.OEAO06H,BBK01.OEAO06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:46,
2002-01,102.248,
2002-04,100.233,
2002-07,99.764,
2002-10,102.610,
2003-01,103.556,
2003-04,103.715,
2003-07,105.226,
2003-10,108.300,
2004-01,109.081,
2004-04,109.691,
2004-07,110.587,
2004-10,113.668,
2005-01,120.297,
2005-04,120.095,
2005-07,119.941,
2005-10,120.684,
2006-01,119.542,
2006-04,117.807,
2006-07,115.168,
2006-10,114.395,
2007-01,112.015,
2007-04,109.372,
2007-07,106.525,
2007-10,106.478,
2008-01,103.670,
2008-04,101.221,
2008-07,97.912,
2008-10,99.702,
2009-01,103.906,
2009-04,107.427,
2009-07,110.774,
2009-10,115.129,
2010-01,117.662,
2010-04,118.687,
2010-07,119.676,
2010-10,122.601,
2011-01,123.854,
2011-04,123.211,
2011-07,122.285,
2011-10,124.166,
2012-01,125.545,
2012-04,125.006,
2012-07,124.851,
2012-10,126.213,
2013-01,125.830,
2013-04,124.356,
2013-07,122.817,
2013-10,123.473,
2014-01,122.489,
2014-04,121.785,
2014-07,121.612,
