"",BBK01.OEAC58O,BBK01.OEAC58O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:57,
2002-01,3.243,
2002-04,3.279,
2002-07,3.213,
2002-10,3.242,
2003-01,3.261,
2003-04,3.289,
2003-07,2.643,
2003-10,3.427,
2004-01,3.435,
2004-04,3.434,
2004-07,3.088,
2004-10,2.816,
2005-01,2.751,
2005-04,2.717,
2005-07,2.005,
2005-10,1.927,
2006-01,1.924,
2006-04,1.850,
2006-07,1.845,
2006-10,1.726,
2007-01,1.721,
2007-04,1.755,
2007-07,1.759,
2007-10,1.570,
2008-01,1.557,
2008-04,1.564,
2008-07,1.533,
2008-10,1.383,
2009-01,1.342,
2009-04,1.367,
2009-07,1.372,
2009-10,1.382,
2010-01,1.344,
2010-04,1.313,
2010-07,1.387,
2010-10,1.435,
2011-01,1.390,
2011-04,1.378,
2011-07,1.344,
2011-10,1.361,
2012-01,1.373,
2012-04,1.637,
2012-07,1.654,
2012-10,1.654,
2013-01,1.654,
2013-04,1.673,
2013-07,1.780,
2013-10,1.768,
2014-01,1.831,
2014-04,1.861,
2014-07,1.863,
