"",BBK01.OEAE13U,BBK01.OEAE13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:22,
2002-01,0.089,
2002-04,0.094,
2002-07,0.108,
2002-10,0.102,
2003-01,0.088,
2003-04,0.077,
2003-07,0.079,
2003-10,0.074,
2004-01,0.080,
2004-04,0.072,
2004-07,0.076,
2004-10,0.073,
2005-01,0.060,
2005-04,0.070,
2005-07,0.067,
2005-10,0.073,
2006-01,0.067,
2006-04,0.063,
2006-07,0.063,
2006-10,0.055,
2007-01,0.087,
2007-04,0.219,
2007-07,0.146,
2007-10,0.080,
2008-01,0.089,
2008-04,0.104,
2008-07,0.078,
2008-10,0.070,
2009-01,0.040,
2009-04,0.038,
2009-07,0.040,
2009-10,0.034,
2010-01,0.047,
2010-04,0.039,
2010-07,0.044,
2010-10,0.035,
2011-01,0.036,
2011-04,0.044,
2011-07,0.048,
2011-10,0.042,
2012-01,0.042,
2012-04,0.052,
2012-07,0.049,
2012-10,0.037,
2013-01,0.030,
2013-04,0.028,
2013-07,0.034,
2013-10,0.032,
2014-01,0.030,
2014-04,0.033,
2014-07,0.035,
