"",BBFB1.Q.N.DE.1A.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:53,
1991-01,390.613,
1991-04,483.344,
1991-07,511.555,
1991-10,487.047,
1992-01,596.430,
1992-04,522.546,
1992-07,400.568,
1992-10,276.077,
1993-01,323.864,
1993-04,292.425,
1993-07,276.747,
1993-10,261.441,
1994-01,286.093,
1994-04,248.225,
1994-07,304.226,
1994-10,283.525,
1995-01,285.562,
1995-04,255.641,
1995-07,328.004,
1995-10,296.365,
1996-01,298.537,
1996-04,270.320,
1996-07,361.368,
1996-10,341.728,
1997-01,369.998,
1997-04,340.985,
1997-07,343.085,
1997-10,368.250,
1998-01,434.560,
1998-04,404.380,
1998-07,375.751,
1998-10,493.745,
1999-01,418.056,
1999-04,382.614,
1999-07,367.467,
1999-10,535.797,
2000-01,426.538,
2000-04,496.482,
2000-07,415.221,
2000-10,375.182,
2001-01,423.416,
2001-04,584.758,
2001-07,517.012,
2001-10,583.767,
2002-01,496.433,
2002-04,545.142,
2002-07,511.424,
2002-10,415.991,
2003-01,386.246,
2003-04,391.313,
2003-07,401.156,
2003-10,322.914,
2004-01,260.277,
2004-04,271.681,
2004-07,278.835,
2004-10,251.008,
2005-01,253.543,
2005-04,293.507,
2005-07,386.994,
2005-10,405.057,
2006-01,427.941,
2006-04,441.615,
2006-07,495.936,
2006-10,504.572,
2007-01,684.823,
2007-04,738.331,
2007-07,850.598,
2007-10,993.350,
2008-01,435.097,
2008-04,451.821,
2008-07,455.011,
2008-10,436.011,
2009-01,501.043,
2009-04,493.825,
2009-07,481.124,
2009-10,455.265,
2010-01,306.477,
2010-04,304.936,
2010-07,302.736,
2010-10,307.542,
2011-01,336.462,
2011-04,340.938,
2011-07,340.034,
2011-10,343.040,
2012-01,328.246,
2012-04,328.067,
2012-07,323.987,
2012-10,319.432,
2013-01,309.057,
2013-04,311.826,
2013-07,308.442,
2013-10,309.602,
2014-01,299.983,Provisional value
2014-04,303.291,Provisional value
2014-07,306.695,Provisional value
