"",BBK01.OELL05P,BBK01.OELL05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:09,
2002-01,0.055,
2002-04,0.053,
2002-07,0.050,
2002-10,0.053,
2003-01,0.052,
2003-04,0.052,
2003-07,0.052,
2003-10,0.050,
2004-01,0.047,
2004-04,0.047,
2004-07,0.051,
2004-10,0.050,
2005-01,0.049,
2005-04,0.052,
2005-07,0.053,
2005-10,0.048,
2006-01,0.047,
2006-04,0.038,
2006-07,0.045,
2006-10,0.040,
2007-01,0.041,
2007-04,0.040,
2007-07,0.037,
2007-10,0.039,
2008-01,0.038,
2008-04,0.042,
2008-07,0.040,
2008-10,0.044,
2009-01,0.043,
2009-04,0.039,
2009-07,0.041,
2009-10,0.044,
2010-01,0.047,
2010-04,0.050,
2010-07,0.049,
2010-10,0.050,
2011-01,0.055,
2011-04,0.055,
2011-07,0.053,
2011-10,0.052,
2012-01,0.051,
2012-04,0.052,
2012-07,0.043,
2012-10,0.039,
2013-01,0.034,
2013-04,0.031,
2013-07,0.031,
2013-10,0.037,
2014-01,0.036,
2014-04,0.035,
2014-07,0.034,
