"",BBK01.CEFO03,BBK01.CEFO03_FLAGS
"",Other deposits                                                 debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:22,
1999-01,1224.0,
1999-04,1259.2,
1999-07,1324.8,
1999-10,1368.8,
2000-01,1364.4,
2000-04,1355.5,
2000-07,1390.2,
2000-10,1475.2,
2001-01,1466.4,
2001-04,1455.2,
2001-07,1483.3,
2001-10,1532.1,
2002-01,1481.2,
2002-04,1491.8,
2002-07,1535.3,
2002-10,1632.9,
2003-01,1622.2,
2003-04,1681.7,
2003-07,1623.2,
2003-10,1691.1,
2004-01,1649.5,
2004-04,1739.5,
2004-07,1729.2,
2004-10,1839.8,
2005-01,1813.5,
2005-04,1880.8,
2005-07,1922.2,
2005-10,1949.2,
2006-01,1993.8,
2006-04,2053.6,
2006-07,2008.8,
2006-10,2078.5,
2007-01,2080.5,
2007-04,2104.3,
2007-07,2172.8,
2007-10,2317.6,
2008-01,2239.1,
2008-04,2261.9,
2008-07,2376.6,
2008-10,2403.2,
2009-01,2210.8,
2009-04,2223.3,
2009-07,2056.2,
2009-10,2064.8,
2010-01,2004.1,
2010-04,2053.9,
2010-07,1843.2,
2010-10,1784.1,
2011-01,1691.6,
2011-04,1658.1,
2011-07,1675.2,
2011-10,1779.9,
2012-01,1735.2,
2012-04,1683.4,
2012-07,1642.6,
2012-10,1588.3,
2013-01,1525.3,
2013-04,1488.7,
2013-07,1609.7,
2013-10,1626.4,
2014-01,1609.8,
2014-04,1630.7,
2014-07,1620.4,
