"",BBK01.OEAC49J,BBK01.OEAC49J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:50,
2002-01,0.234,
2002-04,0.233,
2002-07,0.243,
2002-10,0.234,
2003-01,0.225,
2003-04,0.223,
2003-07,0.217,
2003-10,0.222,
2004-01,0.214,
2004-04,0.213,
2004-07,0.214,
2004-10,0.209,
2005-01,0.219,
2005-04,0.220,
2005-07,0.217,
2005-10,0.226,
2006-01,0.229,
2006-04,0.236,
2006-07,0.230,
2006-10,0.226,
2007-01,0.221,
2007-04,0.225,
2007-07,0.230,
2007-10,0.245,
2008-01,0.239,
2008-04,0.245,
2008-07,0.237,
2008-10,0.216,
2009-01,0.291,
2009-04,0.274,
2009-07,0.255,
2009-10,0.245,
2010-01,0.134,
2010-04,0.251,
2010-07,0.245,
2010-10,0.242,
2011-01,0.239,
2011-04,0.236,
2011-07,0.233,
2011-10,0.234,
2012-01,0.230,
2012-04,0.210,
2012-07,0.198,
2012-10,0.197,
2013-01,0.206,
2013-04,0.207,
2013-07,0.190,
2013-10,0.179,
2014-01,0.178,
2014-04,0.177,
2014-07,0.172,
