"",BBFN1.M.DE.N.1.L.FI.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FI.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:58,
1982-09,0.005,
1982-10,0.005,
1982-11,0.005,
1982-12,0.005,
1983-01,0.005,
1983-02,0.005,
1983-03,0.005,
1983-04,0.005,
1983-05,0.005,
1983-06,0.005,
1983-07,0.005,
1983-08,0.005,
1983-09,0.005,
1983-10,0.005,
1983-11,0.005,
1983-12,0.005,
1984-01,0.005,
1984-02,0.005,
1984-03,-,Nothing exists
1984-04,-,Nothing exists
1984-05,-,Nothing exists
1984-06,-,Nothing exists
1984-07,-,Nothing exists
1984-08,-,Nothing exists
1984-09,-,Nothing exists
1984-10,-,Nothing exists
1984-11,-,Nothing exists
1984-12,-,Nothing exists
1985-01,-,Nothing exists
1985-02,0.008,
1985-03,0.009,
1985-04,0.009,
1985-05,0.009,
1985-06,0.009,
1985-07,0.009,
1985-08,0.009,
1985-09,0.009,
1985-10,0.009,
1985-11,0.009,
1985-12,0.009,
1986-01,0.009,
1986-02,0.009,
1986-03,0.009,
1986-04,0.009,
1986-05,0.009,
1986-06,0.009,
1986-07,0.009,
1986-08,0.009,
1986-09,0.024,
1986-10,0.024,
1986-11,0.024,
1986-12,0.021,
1987-01,0.021,
1987-02,0.021,
1987-03,0.020,
1987-04,0.020,
1987-05,0.020,
1987-06,0.020,
1987-07,0.020,
1987-08,0.020,
1987-09,0.019,
1987-10,0.019,
1987-11,0.019,
1987-12,0.019,
1988-01,0.019,
1988-02,0.019,
1988-03,0.019,
1988-04,0.023,
1988-05,0.023,
1988-06,0.023,
1988-07,0.023,
1988-08,0.023,
1988-09,0.022,
1988-10,0.022,
1988-11,0.022,
1988-12,0.022,
1989-01,0.022,
1989-02,0.022,
1989-03,0.022,
1989-04,0.022,
1989-05,0.022,
1989-06,0.022,
1989-07,0.022,
1989-08,0.083,
1989-09,0.087,
1989-10,0.087,
1989-11,0.105,
1989-12,0.105,
1990-01,0.130,
1990-02,0.130,
1990-03,0.132,
1990-04,0.151,
1990-05,0.151,
1990-06,0.164,
1990-07,0.164,
1990-08,0.164,
1990-09,0.164,
1990-10,0.163,
1990-11,0.163,
1990-12,0.163,
1991-01,0.163,
1991-02,0.163,
1991-03,0.163,
1991-04,0.162,
1991-05,0.162,
1991-06,0.162,
1991-07,0.162,
1991-08,0.162,
1991-09,0.162,
1991-10,0.161,
1991-11,0.161,
1991-12,0.161,
1992-01,0.161,
1992-02,0.161,
1992-03,0.160,
1992-04,0.160,
1992-05,0.155,
1992-06,0.155,
1992-07,0.155,
1992-08,0.155,
1992-09,0.154,
1992-10,0.154,
1992-11,0.149,
1992-12,0.149,
1993-01,0.149,
1993-02,0.149,
1993-03,0.148,
1993-04,0.148,
1993-05,0.143,
1993-06,0.143,
1993-07,0.143,
1993-08,0.143,
1993-09,0.143,
1993-10,0.147,
1993-11,0.142,
1993-12,0.142,
1994-01,0.142,
1994-02,0.142,
1994-03,0.142,
1994-04,0.141,
1994-05,0.137,
1994-06,0.137,
1994-07,0.152,
1994-08,0.167,
1994-09,0.167,
1994-10,0.167,
1994-11,0.162,
1994-12,0.177,
1995-01,0.108,
1995-02,0.118,
1995-03,0.118,
1995-04,0.118,
1995-05,0.113,
1995-06,0.113,
1995-07,0.118,
1995-08,0.118,
1995-09,0.118,
1995-10,0.118,
1995-11,0.113,
1995-12,0.113,
1996-01,0.113,
1996-02,0.113,
1996-03,0.116,
1996-04,0.116,
1996-05,0.108,
1996-06,0.106,
1996-07,0.106,
1996-08,0.104,
1996-09,0.104,
1996-10,0.104,
1996-11,0.102,
1996-12,0.101,
1997-01,0.101,
1997-02,0.101,
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,.,No value available
1997-09,.,No value available
1997-10,.,No value available
1997-11,.,No value available
1997-12,.,No value available
1998-01,.,No value available
1998-02,.,No value available
1998-03,.,No value available
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,.,No value available
1998-10,.,No value available
1998-11,.,No value available
1998-12,0.107,
1999-01,.,No value available
1999-02,.,No value available
1999-03,0.105,
1999-04,0.105,
1999-05,0.100,
1999-06,0.098,
1999-07,0.098,
1999-08,0.104,
1999-09,0.098,
1999-10,0.098,
1999-11,0.093,
1999-12,0.064,
2000-01,0.107,
2000-02,0.104,
2000-03,0.105,
2000-04,0.112,
2000-05,0.105,
2000-06,0.106,
2000-07,0.106,
2000-08,0.106,
2000-09,0.106,
2000-10,0.094,
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,.,No value available
2001-03,.,No value available
2001-04,.,No value available
2001-05,.,No value available
2001-06,.,No value available
2001-07,.,No value available
