"",BBK01.CEB3QC,BBK01.CEB3QC_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: General government (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:10,
1991-01,9.1,
1991-04,9.4,
1991-07,9.1,
1991-10,9.0,
1992-01,9.4,
1992-04,9.6,
1992-07,9.4,
1992-10,9.2,
1993-01,9.5,
1993-04,9.4,
1993-07,9.9,
1993-10,10.2,
1994-01,10.0,
1994-04,9.9,
1994-07,10.0,
1994-10,11.3,
1995-01,11.6,
1995-04,11.6,
1995-07,11.8,
1995-10,11.8,
1996-01,10.4,
1996-04,9.8,
1996-07,9.6,
1996-10,10.2,
1997-01,9.2,
1997-04,9.1,
1997-07,8.9,
1997-10,9.6,
1998-01,10.5,
1998-04,10.0,
1998-07,10.2,
1998-10,11.3,
1999-01,11.0,
1999-04,10.7,
1999-07,10.3,
1999-10,7.5,
2000-01,8.3,
2000-04,11.7,
2000-07,11.4,
2000-10,8.7,
2001-01,8.9,
2001-04,8.5,
2001-07,8.6,
2001-10,7.4,
2002-01,6.7,
2002-04,6.4,
2002-07,5.9,
2002-10,8.5,
2003-01,9.3,
2003-04,9.4,
2003-07,9.0,
2003-10,9.3,
2004-01,10.1,
2004-04,10.7,
2004-07,11.4,
2004-10,11.8,
2005-01,12.7,
2005-04,13.0,
2005-07,13.5,
2005-10,13.0,
2006-01,8.3,
2006-04,8.5,
2006-07,8.6,
2006-10,8.0,
2007-01,8.3,
2007-04,8.7,
2007-07,8.6,
2007-10,8.6,
2008-01,24.1,
2008-04,47.2,
2008-07,48.0,
2008-10,47.9,
2009-01,44.6,
2009-04,45.5,
2009-07,48.2,
2009-10,50.2,
2010-01,49.8,
2010-04,54.3,
2010-07,53.4,
2010-10,132.4,
2011-01,123.7,
2011-04,122.6,
2011-07,122.9,
2011-10,117.7,
2012-01,114.9,
2012-04,115.7,
2012-07,110.0,
2012-10,114.2,
2013-01,111.3,
2013-04,108.8,
2013-07,104.7,
2013-10,104.1,
2014-01,102.3,
