"",BBK01.OEBB14P,BBK01.OEBB14P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:06,
2002-01,0.033,
2002-04,0.042,
2002-07,0.031,
2002-10,0.035,
2003-01,0.032,
2003-04,0.030,
2003-07,0.028,
2003-10,0.029,
2004-01,0.025,
2004-04,0.022,
2004-07,0.023,
2004-10,0.023,
2005-01,0.025,
2005-04,0.023,
2005-07,0.023,
2005-10,0.025,
2006-01,0.025,
2006-04,0.028,
2006-07,0.027,
2006-10,0.024,
2007-01,0.024,
2007-04,0.023,
2007-07,0.021,
2007-10,0.024,
2008-01,0.022,
2008-04,0.021,
2008-07,0.020,
2008-10,0.023,
2009-01,0.021,
2009-04,0.019,
2009-07,0.018,
2009-10,0.016,
2010-01,0.015,
2010-04,0.016,
2010-07,0.016,
2010-10,0.017,
2011-01,0.016,
2011-04,0.016,
2011-07,0.014,
2011-10,0.014,
2012-01,0.012,
2012-04,0.015,
2012-07,0.014,
2012-10,0.015,
2013-01,0.024,
2013-04,0.026,
2013-07,0.022,
2013-10,0.027,
2014-01,0.026,
2014-04,0.027,
2014-07,0.027,
