"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Norway / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:59,
2009-09,2961,
2009-10,2835,
2009-11,2996,
2009-12,3004,
2010-01,3114,
2010-02,3082,
2010-03,3252,
2010-04,3500,
2010-05,3540,
2010-06,3762,
2010-07,3870,
2010-08,4476,
2010-09,3501,
2010-10,3550,
2010-11,3450,
2010-12,3509,
2011-01,3424,
2011-02,3706,
2011-03,3630,
2011-04,3574,
2011-05,3520,
2011-06,3689,
2011-07,3788,
2011-08,3821,
2011-09,3815,
2011-10,3944,
2011-11,3891,
2011-12,3993,
2012-01,4316,
2012-02,1473,
2012-03,1607,
2012-04,1586,
2012-05,1603,
2012-06,1686,
2012-07,1764,
2012-08,1778,
2012-09,1709,
2012-10,1717,
2012-11,1912,
2012-12,1882,
2013-01,2035,
2013-02,2106,
2013-03,2157,
2013-04,2262,
2013-05,2254,
2013-06,2112,
2013-07,2067,
2013-08,2070,
2013-09,2106,
2013-10,2104,
2013-11,2134,
2013-12,2093,
2014-01,1248,
2014-02,1195,
2014-03,1208,
2014-04,1212,
2014-05,1229,
2014-06,1224,
2014-07,1246,
2014-08,1235,
2014-09,1208,
2014-10,1204,
2014-11,1182,
