"",BBK01.OEAE21N,BBK01.OEAE21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:41,
2002-01,1.444,
2002-04,1.541,
2002-07,1.247,
2002-10,1.173,
2003-01,1.347,
2003-04,1.368,
2003-07,0.937,
2003-10,1.108,
2004-01,1.145,
2004-04,1.352,
2004-07,1.372,
2004-10,1.243,
2005-01,1.204,
2005-04,1.515,
2005-07,1.600,
2005-10,1.422,
2006-01,1.549,
2006-04,1.979,
2006-07,2.373,
2006-10,2.300,
2007-01,2.610,
2007-04,2.371,
2007-07,2.217,
2007-10,1.815,
2008-01,1.887,
2008-04,2.203,
2008-07,2.099,
2008-10,2.309,
2009-01,2.086,
2009-04,2.005,
2009-07,1.934,
2009-10,1.833,
2010-01,2.552,
2010-04,2.292,
2010-07,2.404,
2010-10,2.466,
2011-01,2.206,
2011-04,1.755,
2011-07,1.690,
2011-10,1.718,
2012-01,1.688,
2012-04,1.641,
2012-07,1.578,
2012-10,1.495,
2013-01,1.211,
2013-04,1.261,
2013-07,1.081,
2013-10,1.302,
2014-01,1.213,
2014-04,1.405,
2014-07,1.481,
