"",BBK01.OEAC06R,BBK01.OEAC06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:09,
2002-01,0.505,
2002-04,0.530,
2002-07,0.525,
2002-10,0.525,
2003-01,0.526,
2003-04,0.547,
2003-07,0.540,
2003-10,0.513,
2004-01,0.529,
2004-04,0.540,
2004-07,0.536,
2004-10,0.493,
2005-01,0.506,
2005-04,0.525,
2005-07,0.540,
2005-10,0.512,
2006-01,0.537,
2006-04,0.554,
2006-07,0.544,
2006-10,0.523,
2007-01,0.548,
2007-04,0.580,
2007-07,0.583,
2007-10,0.592,
2008-01,0.608,
2008-04,0.645,
2008-07,0.648,
2008-10,0.643,
2009-01,0.654,
2009-04,0.695,
2009-07,0.702,
2009-10,0.714,
2010-01,0.735,
2010-04,0.771,
2010-07,0.783,
2010-10,0.775,
2011-01,0.816,
2011-04,0.859,
2011-07,0.911,
2011-10,0.921,
2012-01,0.950,
2012-04,0.988,
2012-07,1.001,
2012-10,0.995,
2013-01,1.011,
2013-04,1.045,
2013-07,1.064,
2013-10,1.055,
2014-01,1.087,
2014-04,1.132,
2014-07,1.180,
