"",BBK01.OEAN04N,BBK01.OEAN04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:03,
2002-01,94.205,
2002-04,93.573,
2002-07,93.715,
2002-10,98.267,
2003-01,100.293,
2003-04,100.931,
2003-07,102.084,
2003-10,105.804,
2004-01,106.714,
2004-04,106.886,
2004-07,107.682,
2004-10,76.674,
2005-01,83.340,
2005-04,83.304,
2005-07,82.402,
2005-10,83.251,
2006-01,83.444,
2006-04,82.668,
2006-07,80.966,
2006-10,79.569,
2007-01,77.251,
2007-04,75.272,
2007-07,73.717,
2007-10,73.183,
2008-01,72.509,
2008-04,71.803,
2008-07,70.361,
2008-10,72.020,
2009-01,74.335,
2009-04,76.146,
2009-07,78.692,
2009-10,81.424,
2010-01,83.885,
2010-04,85.031,
2010-07,86.405,
2010-10,88.836,
2011-01,89.658,
2011-04,88.157,
2011-07,86.957,
2011-10,87.692,
2012-01,87.453,
2012-04,86.865,
2012-07,86.672,
2012-10,86.747,
2013-01,85.668,
2013-04,85.444,
2013-07,85.357,
2013-10,85.705,
2014-01,84.695,
2014-04,83.395,
2014-07,82.957,
