"",BBK01.OEAG03I,BBK01.OEAG03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:16,
2002-01,18.709,
2002-04,20.229,
2002-07,18.255,
2002-10,17.920,
2003-01,17.842,
2003-04,10.876,
2003-07,10.576,
2003-10,9.878,
2004-01,9.510,
2004-04,9.589,
2004-07,9.717,
2004-10,9.575,
2005-01,10.582,
2005-04,11.116,
2005-07,12.000,
2005-10,14.218,
2006-01,11.247,
2006-04,11.913,
2006-07,18.355,
2006-10,19.499,
2007-01,18.184,
2007-04,19.003,
2007-07,18.442,
2007-10,18.653,
2008-01,18.437,
2008-04,17.665,
2008-07,17.060,
2008-10,16.930,
2009-01,16.589,
2009-04,17.517,
2009-07,19.829,
2009-10,20.159,
2010-01,20.216,
2010-04,19.096,
2010-07,18.622,
2010-10,17.866,
2011-01,20.225,
2011-04,19.538,
2011-07,17.692,
2011-10,17.749,
2012-01,17.944,
2012-04,16.744,
2012-07,16.787,
2012-10,16.146,
2013-01,14.945,
2013-04,15.478,
2013-07,14.618,
2013-10,13.715,
2014-01,13.535,
2014-04,13.253,
2014-07,13.134,
