"",BBK01.OEXB12J,BBK01.OEXB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:22,
2002-01,0.195,
2002-04,0.188,
2002-07,0.179,
2002-10,0.170,
2003-01,0.164,
2003-04,0.160,
2003-07,0.155,
2003-10,0.153,
2004-01,0.143,
2004-04,0.139,
2004-07,0.145,
2004-10,0.142,
2005-01,0.139,
2005-04,0.134,
2005-07,0.136,
2005-10,0.274,
2006-01,0.284,
2006-04,0.298,
2006-07,0.292,
2006-10,0.284,
2007-01,0.278,
2007-04,0.301,
2007-07,0.302,
2007-10,0.353,
2008-01,0.354,
2008-04,0.395,
2008-07,0.416,
2008-10,0.447,
2009-01,0.467,
2009-04,0.461,
2009-07,0.452,
2009-10,0.439,
2010-01,0.451,
2010-04,0.442,
2010-07,0.428,
2010-10,0.413,
2011-01,0.407,
2011-04,0.373,
2011-07,0.390,
2011-10,0.398,
2012-01,0.413,
2012-04,0.408,
2012-07,0.416,
2012-10,0.448,
2013-01,0.415,
2013-04,0.402,
2013-07,0.412,
2013-10,0.374,
2014-01,0.441,
2014-04,0.442,
2014-07,0.374,
