"",BBFB1.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:45,
1991-01,5890.926,
1991-02,5363.739,
1991-03,6019.445,
1991-04,5754.498,
1991-05,5954.226,
1991-06,6830.186,
1991-07,7033.573,
1991-08,7658.131,
1991-09,7399.439,
1991-10,6653.603,
1991-11,5698.504,
1991-12,6459.567,
1992-01,6597.923,
1992-02,5944.056,
1992-03,6601.508,
1992-04,6381.343,
1992-05,6344.713,
1992-06,7703.724,
1992-07,7870.305,
1992-08,8119.297,
1992-09,8130.085,
1992-10,7720.402,
1992-11,5766.880,
1992-12,7279.472,
1993-01,6577.994,
1993-02,5972.255,
1993-03,6763.185,
1993-04,6829.637,
1993-05,6401.458,
1993-06,7994.775,
1993-07,8272.381,
1993-08,8341.462,
1993-09,8526.735,
1993-10,7566.242,
1993-11,6268.079,
1993-12,7118.537,
1994-01,6804.755,
1994-02,6327.176,
1994-03,7648.257,
1994-04,7032.735,
1994-05,6974.795,
1994-06,8411.309,
1994-07,8489.640,
1994-08,9193.735,
1994-09,9390.639,
1994-10,7999.022,
1994-11,6549.139,
1994-12,7554.874,
1995-01,7604.028,
1995-02,6822.365,
1995-03,8276.869,
1995-04,6994.712,
1995-05,7528.877,
1995-06,8722.145,
1995-07,9037.484,
1995-08,9500.042,
1995-09,9504.656,
1995-10,8566.581,
1995-11,7210.372,
1995-12,7745.920,
1996-01,7829.173,
1996-02,7037.292,
1996-03,7925.897,
1996-04,7658.301,
1996-05,7875.905,
1996-06,9227.831,
1996-07,9463.859,
1996-08,10146.849,
1996-09,9976.077,
1996-10,9115.148,
1996-11,7845.166,
1996-12,8731.915,
1997-01,9123.673,
1997-02,7902.338,
1997-03,8266.177,
1997-04,8692.467,
1997-05,9614.970,
1997-06,9584.295,
1997-07,10718.958,
1997-08,11540.589,
1997-09,10464.145,
1997-10,10902.015,
1997-11,8582.276,
1997-12,8876.110,
1998-01,9290.428,
1998-02,8264.627,
1998-03,9105.392,
1998-04,9286.776,
1998-05,9752.972,
1998-06,10097.728,
1998-07,11360.341,
1998-08,12189.763,
1998-09,11142.956,
1998-10,11074.311,
1998-11,8785.351,
1998-12,9872.920,
1999-01,9559.347,
1999-02,8931.073,
1999-03,9398.114,
1999-04,10055.250,
1999-05,10039.580,
1999-06,11563.427,
1999-07,12254.082,
1999-08,12853.092,
1999-09,12310.732,
1999-10,12173.043,
1999-11,10888.392,
1999-12,11875.250,
2000-01,10720.776,
2000-02,10443.460,
2000-03,11108.128,
2000-04,11077.763,
2000-05,12029.277,
2000-06,12379.097,
2000-07,13335.997,
2000-08,14441.885,
2000-09,13770.133,
2000-10,13968.761,
2000-11,11605.915,
2000-12,13760.991,
2001-01,12829.392,
2001-02,11340.268,
2001-03,12139.996,
2001-04,12408.391,
2001-05,12785.553,
2001-06,13192.391,
2001-07,15269.583,
2001-08,15637.157,
2001-09,13545.218,
2001-10,13974.103,
2001-11,11916.388,
2001-12,13302.889,
2002-01,12182.157,
2002-02,11104.541,
2002-03,12363.070,
2002-04,12217.396,
2002-05,12746.053,
2002-06,12369.663,
2002-07,14346.428,
2002-08,15169.993,
2002-09,13355.093,
2002-10,13316.172,
2002-11,10823.476,
2002-12,13251.061,
2003-01,12662.644,
2003-02,10653.514,
2003-03,11512.173,
2003-04,12479.657,
2003-05,11736.805,
2003-06,12327.194,
2003-07,14863.219,
2003-08,15071.059,
2003-09,14224.347,
2003-10,13312.813,
2003-11,10722.878,
2003-12,12994.674,
2004-01,12004.587,
2004-02,11244.199,
2004-03,12188.553,
2004-04,12607.545,
2004-05,12734.827,
2004-06,13633.076,
2004-07,14365.793,
2004-08,15671.775,
2004-09,14416.099,
2004-10,13144.762,
2004-11,11983.321,
2004-12,13532.103,
2005-01,12784.849,
2005-02,11249.447,
2005-03,12976.545,
2005-04,12803.473,
2005-05,13394.730,
2005-06,14234.021,
2005-07,16026.851,
2005-08,16982.963,
2005-09,15523.781,
2005-10,14871.291,
2005-11,12555.267,
2005-12,15593.132,
2006-01,14245.228,
2006-02,12298.046,
2006-03,14243.063,
2006-04,13233.893,
2006-05,14365.910,
2006-06,14875.495,
2006-07,16739.393,
2006-08,16740.136,
2006-09,16683.892,
2006-10,15545.299,
2006-11,13537.822,
2006-12,16433.907,
2007-01,14642.298,
2007-02,13438.524,
2007-03,14304.095,
2007-04,14352.457,
2007-05,15282.020,
