"",BBK01.OXA8W1,BBK01.OXA8W1_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from non-banks (non-MFIs) in other euro area member states during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:57,
2009-12,-,Nothing exists
2010-01,0.054,
2010-02,-,Nothing exists
2010-03,0.292,
2010-04,-,Nothing exists
2010-05,0.025,
2010-06,0.045,
2010-07,0.052,
2010-08,0.022,
2010-09,0.065,
2010-10,0.070,
2010-11,-0.019,
2010-12,0.094,
2011-01,0.071,
2011-02,-0.485,
2011-03,-0.033,
2011-04,-0.004,
2011-05,0.002,
2011-06,0.003,
2011-07,-0.184,
2011-08,0.003,
2011-09,-,Nothing exists
2011-10,0.027,
2011-11,0.006,
2011-12,-0.020,
2012-01,0.177,
2012-02,-0.009,
2012-03,-0.030,
2012-04,-0.039,
2012-05,-,Nothing exists
2012-06,0.003,
2012-07,-0.112,
2012-08,0.431,
2012-09,-,Nothing exists
2012-10,-0.204,
2012-11,-,Nothing exists
2012-12,0.012,
2013-01,0.002,
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,0.027,
2013-06,0.012,
2013-07,-,Nothing exists
2013-08,0.002,
2013-09,-,Nothing exists
2013-10,0.001,
2013-11,0.040,
2013-12,0.021,
2014-01,0.001,
2014-02,0.001,
2014-03,0.004,
2014-04,-0.027,
2014-05,0.593,
2014-06,0.070,
2014-07,0.027,
2014-08,-0.001,
2014-09,0.001,
2014-10,-0.004,
2014-11,0.434,
2014-12,0.004,Provisional value
