"",BBK01.OEAH97Q,BBK01.OEAH97Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:32,
2002-01,0.054,
2002-04,0.053,
2002-07,0.055,
2002-10,0.053,
2003-01,0.052,
2003-04,0.047,
2003-07,0.042,
2003-10,0.042,
2004-01,0.039,
2004-04,0.038,
2004-07,0.038,
2004-10,0.038,
2005-01,0.039,
2005-04,0.033,
2005-07,0.032,
2005-10,0.031,
2006-01,0.030,
2006-04,0.028,
2006-07,0.028,
2006-10,0.030,
2007-01,0.032,
2007-04,0.034,
2007-07,0.038,
2007-10,0.041,
2008-01,0.043,
2008-04,0.048,
2008-07,0.050,
2008-10,0.057,
2009-01,0.056,
2009-04,0.052,
2009-07,0.049,
2009-10,0.045,
2010-01,0.039,
2010-04,0.038,
2010-07,0.039,
2010-10,0.038,
2011-01,0.038,
2011-04,0.040,
2011-07,0.042,
2011-10,0.044,
2012-01,0.044,
2012-04,0.042,
2012-07,0.043,
2012-10,0.040,
2013-01,0.039,
2013-04,0.037,
2013-07,0.033,
2013-10,0.031,
2014-01,0.031,
2014-04,0.029,
2014-07,0.028,
