"",BBFN1.M.DE.N.1.A.HU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:43,
1995-01,0.388,
1995-02,0.385,
1995-03,0.393,
1995-04,0.406,
1995-05,0.412,
1995-06,0.404,
1995-07,0.422,
1995-08,0.428,
1995-09,0.407,
1995-10,0.413,
1995-11,0.440,
1995-12,0.415,
1996-01,0.411,
1996-02,0.426,
1996-03,0.425,
1996-04,0.439,
1996-05,0.456,
1996-06,0.464,
1996-07,0.482,
1996-08,0.483,
1996-09,0.475,
1996-10,0.484,
1996-11,0.517,
1996-12,0.551,
1997-01,0.565,
1997-02,0.571,
1997-03,0.594,
1997-04,0.591,
1997-05,0.582,
1997-06,0.594,
1997-07,0.644,
1997-08,0.622,
1997-09,0.605,
1997-10,0.672,
1997-11,0.669,
1997-12,0.683,
1998-01,0.667,
1998-02,0.688,
1998-03,0.712,
1998-04,0.727,
1998-05,0.736,
1998-06,0.755,
1998-07,0.764,
1998-08,0.777,
1998-09,0.771,
1998-10,0.784,
1998-11,0.789,
1998-12,0.891,
1999-01,0.766,
1999-02,0.761,
1999-03,0.811,
1999-04,0.780,
1999-05,0.803,
1999-06,0.804,
1999-07,0.797,
1999-08,0.801,
1999-09,0.792,
1999-10,0.778,
1999-11,0.781,
1999-12,0.783,
2000-01,0.810,
2000-02,0.832,
2000-03,0.848,
2000-04,0.882,
2000-05,0.887,
2000-06,0.871,
2000-07,0.868,
2000-08,0.894,
2000-09,0.861,
2000-10,0.878,
2000-11,0.894,
2000-12,0.916,
2001-01,0.939,
2001-02,0.954,
2001-03,0.978,
2001-04,1.018,
2001-05,1.023,
2001-06,1.048,
2001-07,1.031,
2001-08,1.045,
2001-09,1.118,
2001-10,1.146,
2001-11,0.729,
2001-12,0.766,
2002-01,0.838,
2002-02,0.843,
2002-03,0.760,
2002-04,0.805,
2002-05,0.832,
2002-06,0.800,
2002-07,0.796,
2002-08,0.834,
2002-09,0.820,
2002-10,0.816,
2002-11,0.828,
2002-12,0.873,
2003-01,0.856,
2003-02,0.856,
2003-03,0.852,
2003-04,0.883,
2003-05,0.890,
2003-06,0.960,
2003-07,0.927,
2003-08,0.922,
2003-09,0.903,
2003-10,0.958,
2003-11,0.889,
2003-12,0.833,
2004-01,0.871,
2004-02,0.841,
2004-03,0.836,
2004-04,0.791,
2004-05,0.803,
2004-06,0.839,
2004-07,0.875,
2004-08,0.855,
2004-09,0.835,
2004-10,0.788,
2004-11,0.912,
2004-12,0.869,
2005-01,0.836,
2005-02,0.851,
2005-03,0.833,
2005-04,0.878,
2005-05,0.901,
2005-06,0.917,
2005-07,0.911,
2005-08,0.858,
2005-09,0.828,
2005-10,0.786,
2005-11,0.845,
2005-12,0.746,
2006-01,0.774,
2006-02,0.799,
2006-03,1.371,
2006-04,1.484,
2006-05,1.468,
2006-06,1.564,
2006-07,1.812,
2006-08,0.861,
2006-09,0.919,
2006-10,0.847,
2006-11,0.827,
2006-12,0.986,
2007-01,0.927,
2007-02,0.939,
2007-03,0.870,
2007-04,0.900,
2007-05,0.893,
2007-06,0.921,
2007-07,1.026,
2007-08,1.186,
2007-09,1.240,
2007-10,1.158,
2007-11,1.061,
2007-12,1.143,
2008-01,1.112,
2008-02,1.226,
2008-03,1.612,
2008-04,1.596,
2008-05,1.650,
2008-06,1.677,
2008-07,1.826,
2008-08,1.734,
2008-09,2.030,
2008-10,2.063,
2008-11,2.584,
2008-12,2.386,
2009-01,2.112,
2009-02,2.024,
2009-03,1.836,
2009-04,1.823,
2009-05,2.208,
2009-06,2.122,
2009-07,2.167,
2009-08,2.147,
2009-09,2.239,
2009-10,2.574,
2009-11,2.624,
2009-12,2.802,
2010-01,2.709,
2010-02,2.663,
2010-03,2.630,
2010-04,2.524,
2010-05,2.626,
2010-06,2.389,
2010-07,2.375,
2010-08,2.411,
2010-09,2.476,
2010-10,2.581,
2010-11,2.525,
2010-12,2.541,
2011-01,2.593,
2011-02,3.004,
2011-03,2.529,
2011-04,2.383,
2011-05,2.227,
2011-06,2.287,
2011-07,2.303,
2011-08,2.953,
2011-09,2.610,
2011-10,2.688,
2011-11,2.413,
2011-12,2.279,
2012-01,2.317,
2012-02,2.779,
2012-03,2.467,
2012-04,2.150,
2012-05,2.417,
2012-06,2.837,
2012-07,2.754,
2012-08,2.432,
2012-09,2.957,
2012-10,2.594,
2012-11,3.120,
2012-12,2.571,
2013-01,2.287,
2013-02,2.473,
2013-03,2.991,
2013-04,2.380,
2013-05,2.534,
2013-06,2.433,
2013-07,2.206,
2013-08,2.231,
2013-09,2.371,
2013-10,2.474,
2013-11,2.562,
2013-12,2.786,
2014-01,2.978,
2014-02,2.996,
2014-03,2.461,
2014-04,2.364,
2014-05,2.214,
2014-06,2.423,
2014-07,2.147,
2014-08,2.201,
2014-09,2.209,
2014-10,2.398,
2014-11,2.452,
2014-12,2.967,
