"",BBK01.OEAF18Q,BBK01.OEAF18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:28,
2002-01,0.026,
2002-04,0.027,
2002-07,0.021,
2002-10,0.032,
2003-01,0.035,
2003-04,0.032,
2003-07,0.028,
2003-10,0.031,
2004-01,0.021,
2004-04,0.018,
2004-07,0.026,
2004-10,0.031,
2005-01,0.024,
2005-04,0.022,
2005-07,0.029,
2005-10,0.034,
2006-01,0.030,
2006-04,0.029,
2006-07,0.026,
2006-10,0.027,
2007-01,0.035,
2007-04,0.031,
2007-07,0.034,
2007-10,0.035,
2008-01,0.034,
2008-04,0.040,
2008-07,0.031,
2008-10,0.029,
2009-01,0.033,
2009-04,0.029,
2009-07,0.022,
2009-10,0.024,
2010-01,0.027,
2010-04,0.024,
2010-07,0.020,
2010-10,0.174,
2011-01,0.202,
2011-04,0.165,
2011-07,0.184,
2011-10,0.186,
2012-01,0.156,
2012-04,0.143,
2012-07,0.184,
2012-10,0.171,
2013-01,0.189,
2013-04,0.257,
2013-07,0.302,
2013-10,0.316,
2014-01,0.291,
2014-04,0.236,
2014-07,0.198,
