"",BBEX3.M.NZD.USD.CM.AC.A01,BBEX3.M.NZD.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in New Zealand / NZD 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:56,
1990-01,0.59625,
1990-02,0.58825,
1990-03,0.57875,
1990-04,0.57475,
1990-05,0.57625,
1990-06,0.58725,
1990-07,0.59125,
1990-08,0.61625,
1990-09,0.61575,
1990-10,0.61525,
1990-11,0.60825,
1990-12,0.58725,
1991-01,0.60025,
1991-02,0.59935,
1991-03,0.58575,
1991-04,0.58775,
1991-05,0.58125,
1991-06,0.57775,
1991-07,0.57125,
1991-08,0.57425,
1991-09,0.57075,
1991-10,0.55875,
1991-11,0.56220,
1991-12,0.54025,
1992-01,0.54025,
1992-02,0.54725,
1992-03,0.54820,
1992-04,0.53970,
1992-05,0.53625,
1992-06,0.54525,
1992-07,0.54775,
1992-08,0.54025,
1992-09,0.53775,
1992-10,0.52825,
1992-11,0.51625,
1992-12,0.51300,
1993-01,0.51725,
1993-02,0.52225,
1993-03,0.53425,
1993-04,0.54225,
1993-05,0.54225,
1993-06,0.53825,
1993-07,0.55235,
1993-08,0.55085,
1993-09,0.55025,
1993-10,0.55325,
1993-11,0.54425,
1993-12,0.55750,
1994-01,0.56725,
1994-02,0.57720,
1994-03,0.56125,
1994-04,0.57575,
1994-05,0.58875,
1994-06,0.59425,
1994-07,0.60125,
1994-08,0.60225,
1994-09,0.60275,
1994-10,0.61425,
1994-11,0.62325,
1994-12,0.64225,
1995-01,0.63975,
1995-02,0.63525,
1995-03,0.64975,
1995-04,0.67425,
1995-05,0.66675,
1995-06,0.66875,
1995-07,0.67425,
1995-08,0.65020,
1995-09,0.65675,
1995-10,0.66075,
1995-11,0.65420,
1995-12,0.65325,
1996-01,0.66725,
1996-02,0.66975,
1996-03,0.67775,
1996-04,0.68575,
1996-05,0.68125,
1996-06,0.68425,
1996-07,0.69275,
1996-08,0.69125,
1996-09,0.69875,
1996-10,0.70475,
1996-11,0.70825,
1996-12,0.70525,
1997-01,0.68925,
1997-02,0.69075,
1997-03,0.69425,
1997-04,0.69375,
1997-05,0.68975,
1997-06,0.67925,
1997-07,0.64975,
1997-08,0.64225,
1997-09,0.63675,
1997-10,0.62525,
1997-11,0.61535,
1997-12,0.58175,
1998-01,0.58545,
1998-02,0.57755,
1998-03,0.55220,
1998-04,0.55475,
1998-05,0.53340,
1998-06,0.51375,
1998-07,0.51375,
1998-08,0.48835,
1998-09,0.49750,
1998-10,0.52800,
1998-11,0.52900,
1998-12,0.52620,
1999-01,0.53475,
1999-02,0.52525,
1999-03,0.53075,
1999-04,0.55675,
1999-05,0.53625,
1999-06,0.52875,
1999-07,0.52875,
1999-08,0.51275,
1999-09,0.51575,
1999-10,0.51075,
1999-11,0.51175,
1999-12,0.52225,
2000-01,0.49275,
2000-02,0.48375,
2000-03,0.50025,
2000-04,0.48725,
2000-05,0.45925,
2000-06,0.46775,
2000-07,0.45675,
2000-08,0.42875,
2000-09,0.41275,
2000-10,0.40300,
2000-11,0.40350,
2000-12,0.43950,
2001-01,0.44150,
2001-02,0.43225,
2001-03,0.40925,
2001-04,0.41175,
