"",BBK01.OEBI10K,BBK01.OEBI10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:14,
2002-01,0.821,
2002-04,0.746,
2002-07,0.878,
2002-10,0.829,
2003-01,0.732,
2003-04,0.612,
2003-07,0.602,
2003-10,0.579,
2004-01,0.568,
2004-04,0.579,
2004-07,0.456,
2004-10,0.495,
2005-01,0.459,
2005-04,0.483,
2005-07,0.508,
2005-10,0.441,
2006-01,0.409,
2006-04,0.366,
2006-07,0.359,
2006-10,0.310,
2007-01,0.276,
2007-04,0.272,
2007-07,0.269,
2007-10,0.296,
2008-01,0.305,
2008-04,0.307,
2008-07,0.341,
2008-10,0.325,
2009-01,0.368,
2009-04,0.271,
2009-07,0.150,
2009-10,0.125,
2010-01,0.099,
2010-04,0.081,
2010-07,0.090,
2010-10,0.091,
2011-01,0.088,
2011-04,0.064,
2011-07,0.067,
2011-10,0.082,
2012-01,0.081,
2012-04,0.045,
2012-07,0.043,
2012-10,0.042,
2013-01,0.043,
2013-04,0.089,
2013-07,0.074,
2013-10,0.070,
2014-01,0.069,
2014-04,0.066,
2014-07,0.071,
