"",BBSF2.M.1.S.I1314.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:40,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,47,
2009-10,88,
2009-11,88,
2009-12,250,
2010-01,169,
2010-02,29,
2010-03,-125,
2010-04,197,
2010-05,174,
2010-06,122,
2010-07,157,
2010-08,196,
2010-09,960,
2010-10,550,
2010-11,148,
2010-12,251,
2011-01,124,
2011-02,-218,
2011-03,-167,
2011-04,-82,
2011-05,-132,
2011-06,52,
2011-07,317,
2011-08,304,
2011-09,-10,
2011-10,279,
2011-11,-56,
2011-12,103,
2012-01,101,
2012-02,11,
2012-03,-102,
2012-04,-507,
2012-05,125,
2012-06,154,
2012-07,923,
2012-08,-330,
2012-09,93,
2012-10,-39,
2012-11,134,
2012-12,289,
2013-01,450,
2013-02,-3,
2013-03,-158,
2013-04,190,
2013-05,194,
2013-06,49,
2013-07,-305,
2013-08,574,
2013-09,-330,
2013-10,-286,
2013-11,-133,
2013-12,136,
2014-01,82,
2014-02,40,
2014-03,33,
2014-04,340,
2014-05,210,
2014-06,251,
2014-07,50,
2014-08,389,
2014-09,892,
2014-10,570,
2014-11,448,
