"",BBK01.OECJ02S,BBK01.OECJ02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:21,
2002-01,0.399,
2002-04,0.447,
2002-07,0.434,
2002-10,0.438,
2003-01,0.378,
2003-04,0.387,
2003-07,0.394,
2003-10,0.454,
2004-01,0.378,
2004-04,0.409,
2004-07,0.415,
2004-10,0.455,
2005-01,0.572,
2005-04,0.420,
2005-07,0.418,
2005-10,0.511,
2006-01,0.407,
2006-04,0.468,
2006-07,0.468,
2006-10,0.668,
2007-01,0.599,
2007-04,0.462,
2007-07,0.406,
2007-10,0.530,
2008-01,0.424,
2008-04,0.421,
2008-07,0.419,
2008-10,0.458,
2009-01,0.419,
2009-04,0.435,
2009-07,0.440,
2009-10,0.565,
2010-01,0.492,
2010-04,0.538,
2010-07,0.532,
2010-10,0.645,
2011-01,0.492,
2011-04,0.483,
2011-07,0.490,
2011-10,0.639,
2012-01,0.580,
2012-04,0.580,
2012-07,0.585,
2012-10,0.692,
2013-01,0.616,
2013-04,0.617,
2013-07,0.605,
2013-10,0.676,
2014-01,0.599,
2014-04,0.629,
2014-07,0.658,
