"",BBK01.OEXK05N,BBK01.OEXK05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:26,
2002-01,0.027,
2002-04,0.029,
2002-07,0.034,
2002-10,0.036,
2003-01,0.040,
2003-04,0.045,
2003-07,0.043,
2003-10,0.043,
2004-01,0.043,
2004-04,0.043,
2004-07,0.056,
2004-10,0.016,
2005-01,0.015,
2005-04,0.015,
2005-07,0.015,
2005-10,0.016,
2006-01,0.020,
2006-04,0.022,
2006-07,0.024,
2006-10,0.024,
2007-01,0.024,
2007-04,0.023,
2007-07,0.021,
2007-10,0.025,
2008-01,0.032,
2008-04,0.029,
2008-07,0.031,
2008-10,0.078,
2009-01,0.095,
2009-04,0.113,
2009-07,0.119,
2009-10,0.120,
2010-01,0.121,
2010-04,0.122,
2010-07,0.127,
2010-10,0.130,
2011-01,0.137,
2011-04,0.137,
2011-07,0.145,
2011-10,0.142,
2012-01,0.135,
2012-04,0.133,
2012-07,0.140,
2012-10,0.152,
2013-01,0.148,
2013-04,0.166,
2013-07,0.176,
2013-10,0.202,
2014-01,0.222,
2014-04,0.232,
2014-07,0.250,
