"",BBK01.OELK01T,BBK01.OELK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:14,
2002-01,0.244,
2002-04,0.232,
2002-07,0.251,
2002-10,0.262,
2003-01,0.236,
2003-04,0.232,
2003-07,0.237,
2003-10,0.259,
2004-01,0.238,
2004-04,0.228,
2004-07,0.244,
2004-10,0.266,
2005-01,0.243,
2005-04,0.235,
2005-07,0.250,
2005-10,0.273,
2006-01,0.242,
2006-04,0.240,
2006-07,0.256,
2006-10,0.287,
2007-01,0.273,
2007-04,0.271,
2007-07,0.288,
2007-10,0.314,
2008-01,0.294,
2008-04,0.284,
2008-07,0.311,
2008-10,0.356,
2009-01,0.310,
2009-04,0.306,
2009-07,0.322,
2009-10,0.351,
2010-01,0.323,
2010-04,0.320,
2010-07,0.339,
2010-10,0.369,
2011-01,0.334,
2011-04,0.331,
2011-07,0.370,
2011-10,0.410,
2012-01,0.387,
2012-04,0.389,
2012-07,0.447,
2012-10,0.462,
2013-01,0.425,
2013-04,0.416,
2013-07,0.465,
2013-10,0.504,
2014-01,0.469,
2014-04,0.447,
2014-07,0.482,
