"",BBK01.OECB02G,BBK01.OECB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:42,
2002-01,7.695,
2002-04,7.496,
2002-07,7.616,
2002-10,6.925,
2003-01,6.206,
2003-04,6.284,
2003-07,6.406,
2003-10,5.980,
2004-01,5.996,
2004-04,5.817,
2004-07,5.659,
2004-10,5.235,
2005-01,5.131,
2005-04,6.076,
2005-07,5.170,
2005-10,4.451,
2006-01,5.296,
2006-04,5.689,
2006-07,5.351,
2006-10,4.847,
2007-01,5.243,
2007-04,5.777,
2007-07,5.936,
2007-10,5.687,
2008-01,6.320,
2008-04,6.619,
2008-07,6.980,
2008-10,6.897,
2009-01,8.119,
2009-04,7.579,
2009-07,7.304,
2009-10,5.644,
2010-01,6.057,
2010-04,5.950,
2010-07,5.111,
2010-10,4.669,
2011-01,5.048,
2011-04,5.514,
2011-07,5.458,
2011-10,5.226,
2012-01,5.427,
2012-04,5.947,
2012-07,5.410,
2012-10,5.116,
2013-01,5.836,
2013-04,5.742,
2013-07,5.414,
2013-10,5.353,
2014-01,5.666,
2014-04,5.951,
2014-07,5.733,
