"",BBFB1.Q.N.DE.BE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:00,
1991-01,-193.641,
1991-04,-355.304,
1991-07,-309.747,
1991-10,-453.131,
1992-01,-372.298,
1992-04,-508.376,
1992-07,-535.047,
1992-10,-588.534,
1993-01,-940.407,
1993-04,-1045.339,
1993-07,-1204.672,
1993-10,-1292.457,
1994-01,-1158.092,
1994-04,-1149.372,
1994-07,-991.152,
1994-10,-1093.035,
1995-01,-1185.620,
1995-04,-1233.496,
1995-07,-1502.760,
1995-10,-1651.618,
1996-01,-1599.929,
1996-04,-1625.825,
1996-07,-1798.488,
1996-10,-1550.458,
1997-01,-2041.739,
1997-04,-1943.897,
1997-07,-2031.602,
1997-10,-1516.188,
1998-01,-2159.344,
1998-04,-2284.438,
1998-07,-2265.625,
1998-10,-1725.274,
1999-01,-2446.431,
1999-04,-2458.441,
1999-07,-2645.701,
1999-10,-2618.313,
2000-01,-2586.670,
2000-04,-2637.563,
2000-07,-3364.664,
2000-10,-2694.054,
2001-01,-3566.987,
2001-04,-4388.353,
2001-07,-4317.931,
2001-10,-4536.657,
2002-01,-4629.621,
2002-04,-5034.496,
2002-07,-4911.888,
2002-10,-4969.835,
2003-01,-5395.183,
2003-04,-5685.522,
2003-07,-5242.513,
2003-10,-5049.565,
2004-01,-5114.911,
2004-04,-5421.393,
2004-07,-5193.171,
2004-10,-5275.757,
2005-01,-5253.904,
2005-04,-5932.139,
2005-07,-5632.082,
2005-10,-5531.234,
2006-01,-5239.185,
2006-04,-6002.038,
2006-07,-5042.025,
2006-10,-5080.377,
2007-01,-5292.774,
2007-04,-6566.705,
2007-07,-5882.020,
2007-10,-6305.237,
2008-01,-6434.938,
2008-04,-6979.582,
2008-07,-5605.005,
2008-10,-5297.971,
2009-01,-4237.794,
2009-04,-4466.778,
2009-07,-2665.383,
2009-10,-1818.940,
2010-01,-3811.251,
2010-04,-5167.564,
2010-07,-3782.867,
2010-10,-3810.607,
2011-01,-3625.514,
2011-04,-4691.001,
2011-07,-3591.051,
2011-10,-3708.460,
2012-01,-3807.302,
2012-04,-4025.928,
2012-07,-3839.076,
2012-10,-3723.835,
2013-01,-3781.038,
2013-04,-3966.297,
2013-07,-3788.272,
2013-10,-3778.969,
2014-01,-3785.118,Provisional value
2014-04,-4074.190,Provisional value
2014-07,-3614.240,Provisional value
