"",BBK01.OEAL04I,BBK01.OEAL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:14,
2002-01,6.429,
2002-04,5.991,
2002-07,5.125,
2002-10,5.174,
2003-01,5.003,
2003-04,4.604,
2003-07,4.163,
2003-10,3.810,
2004-01,3.299,
2004-04,2.728,
2004-07,2.198,
2004-10,2.636,
2005-01,2.279,
2005-04,2.129,
2005-07,2.108,
2005-10,2.388,
2006-01,2.178,
2006-04,2.146,
2006-07,2.416,
2006-10,2.956,
2007-01,3.078,
2007-04,3.250,
2007-07,3.736,
2007-10,4.298,
2008-01,4.679,
2008-04,5.182,
2008-07,5.550,
2008-10,5.667,
2009-01,4.536,
2009-04,3.734,
2009-07,2.749,
2009-10,1.960,
2010-01,1.591,
2010-04,1.662,
2010-07,1.414,
2010-10,1.321,
2011-01,1.615,
2011-04,2.102,
2011-07,2.509,
2011-10,2.905,
2012-01,3.224,
2012-04,3.068,
2012-07,2.922,
2012-10,2.499,
2013-01,1.937,
2013-04,1.704,
2013-07,1.423,
2013-10,1.290,
2014-01,1.180,
2014-04,1.187,
2014-07,1.092,
