"",BBK01.OEAO06J,BBK01.OEAO06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:16,
2002-01,5.412,
2002-04,5.273,
2002-07,5.281,
2002-10,5.459,
2003-01,5.539,
2003-04,5.523,
2003-07,5.549,
2003-10,5.637,
2004-01,5.665,
2004-04,5.671,
2004-07,6.144,
2004-10,5.925,
2005-01,6.214,
2005-04,6.253,
2005-07,6.237,
2005-10,6.380,
2006-01,6.394,
2006-04,6.376,
2006-07,6.330,
2006-10,6.333,
2007-01,6.229,
2007-04,6.181,
2007-07,6.073,
2007-10,6.136,
2008-01,5.968,
2008-04,5.767,
2008-07,5.556,
2008-10,5.770,
2009-01,5.890,
2009-04,5.829,
2009-07,5.877,
2009-10,5.855,
2010-01,5.785,
2010-04,5.728,
2010-07,5.661,
2010-10,5.692,
2011-01,5.693,
2011-04,5.653,
2011-07,5.602,
2011-10,5.645,
2012-01,5.711,
2012-04,5.724,
2012-07,5.682,
2012-10,5.708,
2013-01,5.669,
2013-04,5.632,
2013-07,5.625,
2013-10,5.697,
2014-01,5.488,
2014-04,5.463,
2014-07,5.465,
