"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F512._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F512._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Unlisted shares / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:29,
1991-01,2313.291,
1991-04,3115.190,
1991-07,2990.794,
1991-10,3111.982,
1992-01,1537.429,
1992-04,1758.950,
1992-07,2158.307,
1992-10,2168.630,
1993-01,2073.821,
1993-04,710.380,
1993-07,1514.866,
1993-10,2347.283,
1994-01,2151.052,
1994-04,2322.337,
1994-07,942.935,
1994-10,2740.393,
1995-01,3576.189,
1995-04,4506.504,
1995-07,2376.144,
1995-10,3448.405,
1996-01,3017.858,
1996-04,1896.487,
1996-07,3623.078,
1996-10,3334.048,
1997-01,4689.715,
1997-04,2099.538,
1997-07,4670.791,
1997-10,6393.611,
1998-01,2689.141,
1998-04,6963.209,
1998-07,1433.487,
1998-10,32595.233,
1999-01,1290.699,
1999-04,8361.316,
1999-07,6973.588,
1999-10,43530.160,
2000-01,6438.133,
2000-04,13436.637,
2000-07,13089.237,
2000-10,-15350.255,
2001-01,2642.458,
2001-04,34335.072,
2001-07,5162.153,
2001-10,3598.186,
2002-01,-391.642,
2002-04,15841.502,
2002-07,10888.190,
2002-10,-5795.376,
2003-01,6171.121,
2003-04,2182.709,
2003-07,-3235.420,
2003-10,-329.588,
2004-01,7325.047,
2004-04,2131.630,
2004-07,445.935,
2004-10,2292.676,
2005-01,6284.403,
2005-04,3381.330,
2005-07,3610.134,
2005-10,2427.166,
2006-01,12401.368,
2006-04,8776.099,
2006-07,7020.959,
2006-10,979.529,
2007-01,-3110.223,
2007-04,10613.179,
2007-07,3581.310,
2007-10,18455.645,
2008-01,3355.171,
2008-04,-5454.043,
2008-07,-3832.081,
2008-10,-15671.726,
2009-01,6185.954,
2009-04,2498.716,
2009-07,6253.168,
2009-10,8123.621,
2010-01,6943.762,
2010-04,8344.601,
2010-07,4102.955,
2010-10,13895.249,
2011-01,7548.647,
2011-04,8113.422,
2011-07,5977.950,
2011-10,6700.647,
2012-01,11678.960,
2012-04,-2893.485,
2012-07,7175.683,
2012-10,10444.271,
2013-01,4908.235,
2013-04,-1386.422,
2013-07,7927.345,
2013-10,4209.964,
2014-01,11157.670,
2014-04,9093.956,
2014-07,8789.192,
