"",BBK01.OEXM02U,BBK01.OEXM02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:39,
2002-01,0.039,
2002-04,0.059,
2002-07,0.068,
2002-10,0.088,
2003-01,0.089,
2003-04,0.121,
2003-07,0.109,
2003-10,0.116,
2004-01,0.122,
2004-04,0.168,
2004-07,0.197,
2004-10,0.187,
2005-01,0.211,
2005-04,0.237,
2005-07,0.241,
2005-10,0.256,
2006-01,0.257,
2006-04,0.245,
2006-07,0.224,
2006-10,0.179,
2007-01,0.134,
2007-04,0.123,
2007-07,0.126,
2007-10,0.119,
2008-01,0.113,
2008-04,0.102,
2008-07,0.089,
2008-10,0.213,
2009-01,0.528,
2009-04,0.636,
2009-07,0.640,
2009-10,0.611,
2010-01,0.607,
2010-04,0.556,
2010-07,0.594,
2010-10,0.580,
2011-01,0.587,
2011-04,0.544,
2011-07,0.553,
2011-10,0.391,
2012-01,0.343,
2012-04,0.288,
2012-07,0.287,
2012-10,0.284,
2013-01,0.262,
2013-04,0.321,
2013-07,0.306,
2013-10,0.291,
2014-01,0.269,
2014-04,0.285,
2014-07,0.288,
