"",BBK01.OECL03G,BBK01.OECL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:31,
2002-01,1.051,
2002-04,0.905,
2002-07,0.926,
2002-10,0.970,
2003-01,0.831,
2003-04,0.800,
2003-07,0.648,
2003-10,0.559,
2004-01,0.582,
2004-04,0.617,
2004-07,0.597,
2004-10,0.615,
2005-01,0.876,
2005-04,0.896,
2005-07,0.879,
2005-10,0.908,
2006-01,0.990,
2006-04,1.007,
2006-07,1.080,
2006-10,1.255,
2007-01,1.406,
2007-04,1.604,
2007-07,1.846,
2007-10,2.378,
2008-01,2.751,
2008-04,2.771,
2008-07,3.485,
2008-10,3.627,
2009-01,3.129,
2009-04,3.013,
2009-07,2.279,
2009-10,1.738,
2010-01,1.212,
2010-04,1.078,
2010-07,1.002,
2010-10,0.939,
2011-01,0.948,
2011-04,0.975,
2011-07,0.928,
2011-10,0.979,
2012-01,1.026,
2012-04,0.985,
2012-07,0.919,
2012-10,0.666,
2013-01,0.568,
2013-04,0.600,
2013-07,0.575,
2013-10,0.524,
2014-01,0.498,
2014-04,0.491,
2014-07,0.361,
