"",BBK01.OEAD36N,BBK01.OEAD36N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:37,
2002-01,2.432,
2002-04,2.415,
2002-07,2.522,
2002-10,2.432,
2003-01,2.325,
2003-04,2.338,
2003-07,2.275,
2003-10,2.218,
2004-01,2.132,
2004-04,2.052,
2004-07,1.941,
2004-10,1.908,
2005-01,1.916,
2005-04,1.970,
2005-07,1.928,
2005-10,1.926,
2006-01,1.896,
2006-04,1.893,
2006-07,1.924,
2006-10,1.900,
2007-01,1.892,
2007-04,1.880,
2007-07,1.913,
2007-10,1.959,
2008-01,2.025,
2008-04,2.087,
2008-07,2.148,
2008-10,2.181,
2009-01,2.224,
2009-04,2.249,
2009-07,2.197,
2009-10,2.110,
2010-01,2.197,
2010-04,2.212,
2010-07,2.427,
2010-10,2.261,
2011-01,2.209,
2011-04,2.182,
2011-07,2.175,
2011-10,2.228,
2012-01,2.290,
2012-04,2.288,
2012-07,2.317,
2012-10,2.334,
2013-01,2.331,
2013-04,2.264,
2013-07,2.333,
2013-10,2.322,
2014-01,2.360,
2014-04,2.414,
2014-07,2.372,
