"",BBK01.OEBB04M,BBK01.OEBB04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:25,
2002-01,22.672,
2002-04,22.715,
2002-07,22.803,
2002-10,22.739,
2003-01,22.690,
2003-04,22.748,
2003-07,22.736,
2003-10,22.742,
2004-01,22.567,
2004-04,22.638,
2004-07,22.798,
2004-10,22.541,
2005-01,28.728,
2005-04,30.116,
2005-07,30.333,
2005-10,30.386,
2006-01,30.432,
2006-04,32.205,
2006-07,32.057,
2006-10,31.345,
2007-01,34.262,
2007-04,31.555,
2007-07,31.270,
2007-10,31.093,
2008-01,30.701,
2008-04,30.666,
2008-07,29.528,
2008-10,29.533,
2009-01,29.315,
2009-04,30.942,
2009-07,30.609,
2009-10,29.812,
2010-01,29.686,
2010-04,29.648,
2010-07,30.037,
2010-10,29.892,
2011-01,30.560,
2011-04,30.530,
2011-07,30.390,
2011-10,30.197,
2012-01,29.991,
2012-04,30.010,
2012-07,30.155,
2012-10,30.564,
2013-01,30.550,
2013-04,30.703,
2013-07,30.463,
2013-10,30.646,
2014-01,30.539,
2014-04,30.914,
2014-07,30.816,
