"",BBFB1.Q.N.DE.A1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:21,
1991-01,-185.294,
1991-04,-1830.579,
1991-07,-299.935,
1991-10,302.867,
1992-01,-1164.591,
1992-04,-836.806,
1992-07,331.425,
1992-10,267.906,
1993-01,466.419,
1993-04,476.656,
1993-07,1039.905,
1993-10,1769.292,
1994-01,1097.061,
1994-04,1457.988,
1994-07,1603.233,
1994-10,1890.078,
1995-01,1406.829,
1995-04,1858.955,
1995-07,1393.908,
1995-10,1328.222,
1996-01,1199.161,
1996-04,1586.616,
1996-07,2605.188,
1996-10,3322.867,
1997-01,3101.898,
1997-04,2669.804,
1997-07,4762.026,
1997-10,5189.771,
1998-01,4279.165,
1998-04,4741.237,
1998-07,5525.173,
1998-10,5606.381,
1999-01,4194.174,
1999-04,5179.016,
1999-07,5692.089,
1999-10,6761.227,
2000-01,5821.150,
2000-04,5075.631,
2000-07,6201.624,
2000-10,5692.197,
2001-01,6713.805,
2001-04,6327.035,
2001-07,8457.213,
2001-10,8307.377,
2002-01,8103.203,
2002-04,7620.073,
2002-07,10448.146,
2002-10,9252.401,
2003-01,6501.884,
2003-04,6522.609,
2003-07,7571.681,
2003-10,7113.843,
2004-01,8339.369,
2004-04,7896.273,
2004-07,8221.787,
2004-10,8173.027,
2005-01,9758.449,
2005-04,9466.035,
2005-07,11298.710,
2005-10,9774.677,
2006-01,10897.041,
2006-04,8245.296,
2006-07,9775.737,
2006-10,11208.421,
2007-01,8059.520,
2007-04,6940.591,
2007-07,9662.091,
2007-10,8233.487,
2008-01,9006.254,
2008-04,8769.998,
2008-07,7722.872,
2008-10,5495.382,
2009-01,3468.528,
2009-04,5092.396,
2009-07,5740.945,
2009-10,6285.519,
2010-01,6705.837,
2010-04,8152.833,
2010-07,8412.728,
2010-10,7799.657,
2011-01,6929.107,
2011-04,6610.208,
2011-07,9303.685,
2011-10,10173.056,
2012-01,12875.334,
2012-04,10781.084,
2012-07,15598.548,
2012-10,12944.097,
2013-01,14909.373,
2013-04,14772.682,
2013-07,15912.831,
2013-10,16768.455,
2014-01,16152.951,Provisional value
2014-04,15304.953,Provisional value
2014-07,19552.572,Provisional value
