"",BBFB1.M.N.DE.W1.S1.S1.T.B.SI._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SI._Z._Z._Z._T._X.N_FLAGS
"","Current account / Telecommunications, computer and information services / Balance / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:50,
1991-01,-84.994,
1991-02,-54.562,
1991-03,-38.922,
1991-04,-24.634,
1991-05,-83.538,
1991-06,-33.867,
1991-07,-67.084,
1991-08,-72.158,
1991-09,-41.155,
1991-10,-56.408,
1991-11,-93.352,
1991-12,-49.003,
1992-01,-94.353,
1992-02,9.000,
1992-03,-77.262,
1992-04,-56.802,
1992-05,-41.205,
1992-06,-102.366,
1992-07,-94.053,
1992-08,-54.263,
1992-09,30.880,
1992-10,-60.081,
1992-11,-54.117,
1992-12,-110.701,
1993-01,-80.671,
1993-02,-93.060,
1993-03,-72.116,
1993-04,-110.952,
1993-05,-64.579,
1993-06,-55.432,
1993-07,-124.288,
1993-08,-68.048,
1993-09,-87.778,
1993-10,-69.521,
1993-11,-50.976,
1993-12,-149.738,
1994-01,-130.434,
1994-02,-102.806,
1994-03,-113.589,
1994-04,-102.175,
1994-05,-123.629,
1994-06,-47.596,
1994-07,-93.539,
1994-08,-42.183,
1994-09,-132.727,
1994-10,-126.842,
1994-11,-48.493,
1994-12,77.529,
1995-01,-133.373,
1995-02,-89.529,
1995-03,-97.297,
1995-04,-124.456,
1995-05,-101.928,
1995-06,-71.040,
1995-07,-64.181,
1995-08,-72.384,
1995-09,-74.170,
1995-10,-46.743,
1995-11,-105.184,
1995-12,-78.965,
1996-01,-92.463,
1996-02,-104.635,
1996-03,-92.609,
1996-04,-28.213,
1996-05,-100.141,
1996-06,-53.954,
1996-07,-37.797,
1996-08,-130.231,
1996-09,-147.172,
1996-10,-143.394,
1996-11,-69.780,
1996-12,-117.726,
1997-01,-121.491,
1997-02,-108.974,
1997-03,-140.522,
1997-04,-56.152,
1997-05,-110.091,
1997-06,-262.236,
1997-07,-61.798,
1997-08,-217.270,
1997-09,-137.702,
1997-10,-110.236,
1997-11,-153.251,
1997-12,-101.579,
1998-01,-87.527,
1998-02,-148.606,
1998-03,-90.412,
1998-04,-128.086,
1998-05,-110.337,
1998-06,-52.085,
1998-07,-204.116,
1998-08,-149.595,
1998-09,-101.316,
1998-10,-185.952,
1998-11,-284.791,
1998-12,-31.708,
1999-01,-235.155,
1999-02,-271.173,
1999-03,-260.570,
1999-04,-123.187,
1999-05,-319.599,
1999-06,-138.651,
1999-07,-186.183,
1999-08,-231.444,
1999-09,-290.074,
1999-10,-194.619,
1999-11,-314.377,
1999-12,-174.335,
2000-01,-187.727,
2000-02,-429.331,
2000-03,-130.987,
2000-04,-240.749,
2000-05,-337.109,
2000-06,-89.132,
2000-07,-319.470,
2000-08,-321.385,
2000-09,-132.937,
2000-10,-399.592,
2000-11,-198.423,
2000-12,-116.581,
2001-01,-420.912,
2001-02,-281.334,
2001-03,-110.111,
2001-04,-351.043,
2001-05,-373.020,
2001-06,-137.211,
2001-07,-353.495,
2001-08,-322.267,
2001-09,-242.363,
2001-10,-323.236,
2001-11,-198.465,
2001-12,129.848,
2002-01,-329.583,
2002-02,-220.942,
2002-03,-85.547,
2002-04,-269.940,
2002-05,-270.929,
2002-06,-147.228,
2002-07,-509.146,
2002-08,-283.371,
2002-09,-123.163,
2002-10,-401.604,
2002-11,-212.466,
2002-12,539.797,
2003-01,-390.525,
2003-02,-112.258,
2003-03,43.763,
2003-04,-100.099,
2003-05,-204.521,
2003-06,97.793,
2003-07,-408.308,
2003-08,-214.767,
2003-09,10.362,
2003-10,-256.105,
2003-11,-123.107,
2003-12,212.142,
2004-01,-363.037,
2004-02,-150.701,
2004-03,47.786,
2004-04,-170.164,
2004-05,-138.029,
2004-06,140.618,
2004-07,-146.499,
2004-08,-135.397,
2004-09,125.696,
2004-10,-200.566,
2004-11,-106.642,
2004-12,393.392,
2005-01,-232.896,
2005-02,-192.762,
2005-03,63.226,
2005-04,-176.656,
2005-05,-119.958,
2005-06,-182.594,
2005-07,-182.144,
2005-08,-177.344,
2005-09,138.416,
2005-10,-88.220,
2005-11,-174.500,
2005-12,350.479,
2006-01,-304.927,
2006-02,-254.757,
2006-03,140.797,
2006-04,-105.527,
2006-05,-126.708,
2006-06,132.736,
2006-07,-236.060,
2006-08,-194.127,
2006-09,202.849,
2006-10,-129.368,
2006-11,-127.721,
2006-12,557.237,
2007-01,-602.937,
2007-02,-158.675,
2007-03,117.741,
2007-04,-239.562,
2007-05,4.819,
2007-06,174.626,
2007-07,-283.177,
2007-08,-116.278,
2007-09,278.629,
2007-10,-239.635,
2007-11,-70.598,
2007-12,720.561,
2008-01,-521.796,
2008-02,-22.829,
2008-03,207.258,
2008-04,-238.219,
2008-05,94.438,
2008-06,509.002,
2008-07,-194.202,
2008-08,-22.549,
2008-09,134.956,
2008-10,-264.997,
2008-11,-62.046,
2008-12,702.019,
2009-01,-376.174,
2009-02,-173.643,
2009-03,180.380,
2009-04,-89.327,
2009-05,107.256,
2009-06,294.904,
2009-07,-120.810,
2009-08,2.532,
2009-09,316.561,
2009-10,-37.260,
2009-11,118.561,
2009-12,708.542,
2010-01,-572.962,
2010-02,-201.048,
2010-03,408.078,
2010-04,-6.035,
2010-05,151.068,
2010-06,243.684,
2010-07,-188.624,
2010-08,-98.982,
2010-09,179.484,
2010-10,13.749,
