"",BBK01.OEAH16O,BBK01.OEAH16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:53,
2002-01,3.949,
2002-04,3.908,
2002-07,4.651,
2002-10,4.337,
2003-01,3.991,
2003-04,5.781,
2003-07,4.377,
2003-10,4.996,
2004-01,4.312,
2004-04,4.930,
2004-07,4.454,
2004-10,4.219,
2005-01,25.090,
2005-04,26.039,
2005-07,26.506,
2005-10,27.193,
2006-01,27.033,
2006-04,27.619,
2006-07,26.715,
2006-10,27.771,
2007-01,26.815,
2007-04,28.515,
2007-07,28.787,
2007-10,28.266,
2008-01,28.292,
2008-04,28.230,
2008-07,28.048,
2008-10,28.362,
2009-01,30.415,
2009-04,32.641,
2009-07,34.855,
2009-10,36.929,
2010-01,37.634,
2010-04,39.573,
2010-07,42.666,
2010-10,42.327,
2011-01,42.063,
2011-04,42.671,
2011-07,42.527,
2011-10,42.918,
2012-01,42.974,
2012-04,43.727,
2012-07,45.979,
2012-10,48.536,
2013-01,48.346,
2013-04,49.122,
2013-07,49.983,
2013-10,51.925,
2014-01,51.595,
2014-04,52.444,
2014-07,54.622,
