"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services: Travel / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:12,
1991-01,3.04,
1991-04,3.15,
1991-07,3.32,
1991-10,3.19,
1992-01,3.07,
1992-04,3.13,
1992-07,3.26,
1992-10,3.09,
1993-01,3.09,
1993-04,3.24,
1993-07,3.11,
1993-10,3.14,
1994-01,3.02,
1994-04,3.02,
1994-07,3.10,
1994-10,3.20,
1995-01,3.16,
1995-04,3.31,
1995-07,3.33,
1995-10,3.37,
1996-01,3.41,
1996-04,3.41,
1996-07,3.35,
1996-10,3.44,
1997-01,3.84,
1997-04,3.86,
1997-07,3.97,
1997-10,4.10,
1998-01,4.29,
1998-04,4.04,
1998-07,4.07,
1998-10,4.10,
1999-01,4.12,
1999-04,4.18,
1999-07,4.34,
1999-10,4.37,
2000-01,4.73,
2000-04,5.04,
2000-07,5.16,
2000-10,5.27,
2001-01,5.11,
2001-04,5.07,
2001-07,5.00,
2001-10,5.10,
2002-01,5.06,
2002-04,5.08,
2002-07,5.11,
2002-10,5.17,
2003-01,5.10,
2003-04,5.05,
2003-07,5.09,
2003-10,5.21,
2004-01,5.54,
2004-04,5.53,
2004-07,5.50,
2004-10,5.61,
2005-01,5.85,
2005-04,5.91,
2005-07,5.78,
2005-10,5.88,
2006-01,5.99,
2006-04,7.05,
2006-07,6.39,
2006-10,6.58,
2007-01,6.45,
2007-04,6.59,
2007-07,6.65,
2007-10,6.59,
2008-01,6.66,
2008-04,6.78,
2008-07,6.72,
2008-10,6.93,
2009-01,6.13,
2009-04,6.21,
2009-07,6.26,
2009-10,6.18,
2010-01,6.20,
2010-04,6.44,
2010-07,6.75,
2010-10,6.64,
2011-01,6.66,
2011-04,6.80,
2011-07,7.12,
2011-10,7.24,
2012-01,7.34,
2012-04,7.34,
2012-07,7.53,
2012-10,7.48,
2013-01,7.78,
2013-04,7.65,
2013-07,7.73,
2013-10,7.91,
2014-01,7.94,
2014-04,8.04,Provisional value
2014-07,8.16,Provisional value
2014-10,8.21,Provisional value
