"",BBK01.WZ3408,BBK01.WZ3408_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 9.0 years / end of month",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:33,
1972-09,7.88,
1972-10,8.28,
1972-11,8.46,
1972-12,8.57,
1973-01,8.59,
1973-02,8.42,
1973-03,8.58,
1973-04,8.78,
1973-05,9.54,
1973-06,9.71,
1973-07,9.88,
1973-08,9.40,
1973-09,9.56,
1973-10,9.38,
1973-11,9.55,
1973-12,9.66,
1974-01,9.54,
1974-02,10.32,
1974-03,10.36,
1974-04,10.32,
1974-05,10.64,
1974-06,10.80,
1974-07,10.88,
1974-08,10.79,
1974-09,10.83,
1974-10,10.70,
1974-11,10.15,
1974-12,9.79,
1975-01,9.16,
1975-02,9.02,
1975-03,9.11,
1975-04,8.70,
1975-05,8.51,
1975-06,8.48,
1975-07,8.45,
1975-08,8.44,
1975-09,8.50,
1975-10,8.74,
1975-11,8.50,
1975-12,8.42,
1976-01,8.29,
1976-02,8.10,
1976-03,7.98,
1976-04,8.14,
1976-05,8.48,
1976-06,8.46,
1976-07,8.59,
1976-08,8.38,
1976-09,8.12,
1976-10,7.93,
1976-11,7.52,
1976-12,7.53,
1977-01,7.30,
1977-02,7.26,
1977-03,6.85,
1977-04,6.53,
1977-05,6.59,
1977-06,6.55,
1977-07,6.35,
1977-08,6.26,
1977-09,6.22,
1977-10,6.21,
1977-11,6.18,
1977-12,6.06,
1978-01,5.93,
1978-02,5.72,
1978-03,5.67,
1978-04,5.78,
1978-05,5.83,
1978-06,5.99,
1978-07,6.36,
1978-08,6.27,
1978-09,6.23,
1978-10,6.40,
1978-11,6.54,
1978-12,6.64,
1979-01,6.92,
1979-02,7.13,
1979-03,7.18,
1979-04,7.48,
1979-05,7.93,
1979-06,7.98,
1979-07,7.67,
1979-08,7.51,
1979-09,7.48,
1979-10,8.04,
1979-11,7.83,
1979-12,7.88,
1980-01,8.13,
1980-02,8.93,
1980-03,9.79,
1980-04,8.93,
1980-05,8.27,
1980-06,7.98,
