"",BBK01.OECJ04I,BBK01.OECJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:30,
2002-01,1.254,
2002-04,1.071,
2002-07,1.099,
2002-10,1.103,
2003-01,1.073,
2003-04,0.926,
2003-07,0.889,
2003-10,0.900,
2004-01,0.767,
2004-04,0.691,
2004-07,0.736,
2004-10,0.898,
2005-01,0.807,
2005-04,0.730,
2005-07,0.761,
2005-10,0.801,
2006-01,0.992,
2006-04,0.948,
2006-07,1.017,
2006-10,1.334,
2007-01,1.097,
2007-04,1.078,
2007-07,1.144,
2007-10,1.525,
2008-01,1.609,
2008-04,1.734,
2008-07,1.812,
2008-10,1.308,
2009-01,1.170,
2009-04,1.165,
2009-07,0.906,
2009-10,0.929,
2010-01,1.184,
2010-04,1.212,
2010-07,1.490,
2010-10,1.175,
2011-01,1.522,
2011-04,1.452,
2011-07,1.331,
2011-10,1.944,
2012-01,1.109,
2012-04,1.114,
2012-07,1.019,
2012-10,0.868,
2013-01,1.571,
2013-04,1.445,
2013-07,1.492,
2013-10,1.995,
2014-01,1.446,
2014-04,1.256,
2014-07,1.312,
