"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F81.T._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F81.T._T._X.N_FLAGS
"",IIP - Other Investment - Trade credits and advances - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:03,
1999-10,40135,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,32190,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,27880,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,26082,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,26715,
2004-01,28370,
2004-04,30580,
2004-07,27153,
2004-10,24236,
2005-01,26318,
2005-04,28832,
2005-07,28192,
2005-10,25313,
2006-01,26706,
2006-04,25496,
2006-07,25296,
2006-10,26240,
2007-01,26727,
2007-04,23953,
2007-07,21516,
2007-10,19049,
2008-01,18368,
2008-04,17766,
2008-07,15556,
2008-10,13923,
2009-01,7936,
2009-04,5926,
2009-07,6098,
2009-10,2739,
2010-01,4426,
2010-04,6378,
2010-07,7272,
2010-10,10779,
2011-01,11778,
2011-04,12167,
2011-07,5030,
2011-10,3081,
2012-01,9472,
2012-04,7870,
2012-07,3259,
2012-10,-12583,
2013-01,-11973,
2013-04,-9779,
2013-07,-12667,
2013-10,-12812,
2014-01,-11076,
2014-04,-9620,
2014-07,-9434,
