"",BBK01.OEAA29S,BBK01.OEAA29S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:06,
2002-01,3.653,
2002-04,3.643,
2002-07,3.634,
2002-10,3.467,
2003-01,3.411,
2003-04,3.426,
2003-07,3.400,
2003-10,3.374,
2004-01,3.308,
2004-04,3.295,
2004-07,3.273,
2004-10,3.204,
2005-01,3.201,
2005-04,3.171,
2005-07,3.151,
2005-10,3.099,
2006-01,3.059,
2006-04,3.059,
2006-07,3.048,
2006-10,3.055,
2007-01,3.019,
2007-04,2.956,
2007-07,2.972,
2007-10,3.015,
2008-01,2.983,
2008-04,2.990,
2008-07,2.999,
2008-10,3.010,
2009-01,3.012,
2009-04,3.167,
2009-07,3.196,
2009-10,3.280,
2010-01,3.253,
2010-04,3.267,
2010-07,3.287,
2010-10,3.363,
2011-01,3.340,
2011-04,3.373,
2011-07,3.374,
2011-10,3.435,
2012-01,3.420,
2012-04,3.848,
2012-07,3.887,
2012-10,3.905,
2013-01,3.930,
2013-04,3.950,
2013-07,3.989,
2013-10,4.007,
2014-01,4.008,
2014-04,4.009,
2014-07,4.045,
