"",BBDR1.Q.DE.N.DES.DHPI.H.I10.A,BBDR1.Q.DE.N.DES.DHPI.H.I10.A_FLAGS
"",Statistisches Bundesamt (Destatis) / House price index / Germany / Unadjusted figure,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:35,
2000-01,100.5,
2000-04,100.0,
2000-07,100.9,
2000-10,101.0,
2001-01,101.3,
2001-04,101.3,
2001-07,101.0,
2001-10,99.1,
2002-01,99.3,
2002-04,100.2,
2002-07,99.9,
2002-10,97.9,
2003-01,99.3,
2003-04,101.3,
2003-07,99.9,
2003-10,98.4,
2004-01,100.1,
2004-04,98.8,
2004-07,97.7,
2004-10,96.1,
2005-01,100.4,
2005-04,98.6,
2005-07,100.7,
2005-10,97.8,
2006-01,99.2,
2006-04,99.6,
2006-07,98.2,
2006-10,99.0,
2007-01,95.4,
2007-04,97.5,
2007-07,97.3,
2007-10,97.3,
2008-01,98.8,
2008-04,99.1,
2008-07,97.3,
2008-10,97.6,
2009-01,97.6,
2009-04,99.1,
2009-07,98.9,
2009-10,100.4,
2010-01,99.0,
2010-04,100.5,
2010-07,100.6,
2010-10,99.9,
2011-01,102.6,
2011-04,103.9,
2011-07,103.4,
2011-10,104.1,
2012-01,104.9,
2012-04,106.3,
2012-07,107.8,
2012-10,109.3,
2013-01,108.9,
2013-04,111.0,
2013-07,110.8,
2013-10,110.9,
2014-01,111.8,
