"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.FI.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:58,
2009-09,4597,
2009-10,4574,
2009-11,4745,
2009-12,4879,
2010-01,5167,
2010-02,5245,
2010-03,5563,
2010-04,5434,
2010-05,5502,
2010-06,5531,
2010-07,5658,
2010-08,5787,
2010-09,5784,
2010-10,5796,
2010-11,6133,
2010-12,6259,
2011-01,6215,
2011-02,5865,
2011-03,5945,
2011-04,6316,
2011-05,6669,
2011-06,6784,
2011-07,7260,
2011-08,7658,
2011-09,7621,
2011-10,7917,
2011-11,7801,
2011-12,7892,
2012-01,8163,
2012-02,8364,
2012-03,8482,
2012-04,8744,
2012-05,8947,
2012-06,9054,
2012-07,9407,
2012-08,9548,
2012-09,9521,
2012-10,9357,
2012-11,9435,
2012-12,9603,
2013-01,9675,
2013-02,9684,
2013-03,9522,
2013-04,9733,
2013-05,9687,
2013-06,9712,
2013-07,9801,
2013-08,10041,
2013-09,10203,
2013-10,10349,
2013-11,10328,
2013-12,10409,
2014-01,10552,
2014-02,10987,
2014-03,11043,
2014-04,11316,
2014-05,11647,
2014-06,11587,
2014-07,11413,
2014-08,11519,
2014-09,11588,
2014-10,11607,
2014-11,11579,
