"",BBFN1.M.DE.N.1.A.LU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:16,
1979-01,.,Value available later
1979-02,.,Value available later
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,0.377,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,0.895,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,0.764,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,1.242,
1982-10,1.298,
1982-11,1.387,
1982-12,1.410,
1983-01,1.309,
1983-02,1.434,
1983-03,1.730,
1983-04,1.718,
1983-05,1.721,
1983-06,1.925,
1983-07,1.811,
1983-08,1.945,
1983-09,1.873,
1983-10,1.964,
1983-11,1.669,
1983-12,1.844,
1984-01,2.173,
1984-02,2.525,
1984-03,2.856,
1984-04,2.407,
1984-05,2.813,
1984-06,2.412,
1984-07,2.230,
1984-08,2.255,
1984-09,2.160,
1984-10,2.156,
1984-11,2.136,
1984-12,2.224,
1985-01,2.765,
1985-02,2.889,
1985-03,3.527,
1985-04,3.600,
1985-05,3.801,
1985-06,3.542,
1985-07,3.466,
1985-08,3.074,
1985-09,3.056,
1985-10,3.461,
1985-11,3.177,
1985-12,2.619,
1986-01,4.248,
1986-02,4.127,
1986-03,5.472,
1986-04,6.733,
1986-05,7.323,
1986-06,6.801,
1986-07,7.273,
1986-08,7.229,
1986-09,7.013,
1986-10,8.433,
1986-11,7.619,
1986-12,7.680,
1987-01,8.826,
1987-02,8.955,
1987-03,8.947,
1987-04,9.293,
1987-05,9.419,
1987-06,9.421,
1987-07,9.922,
1987-08,9.810,
1987-09,9.899,
1987-10,10.783,
