"",BBFB1.Q.N.DE.TR.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:56,
1999-01,18.714,
1999-04,15.402,
1999-07,15.888,
1999-10,18.034,
2000-01,25.832,
2000-04,21.284,
2000-07,20.997,
2000-10,25.622,
2001-01,26.589,
2001-04,13.178,
2001-07,11.618,
2001-10,13.571,
2002-01,27.893,
2002-04,14.308,
2002-07,12.673,
2002-10,13.903,
2003-01,24.516,
2003-04,18.705,
2003-07,18.449,
2003-10,19.579,
2004-01,30.232,
2004-04,25.195,
2004-07,24.063,
2004-10,27.898,
2005-01,32.542,
2005-04,27.839,
2005-07,25.100,
2005-10,30.334,
2006-01,38.259,
2006-04,30.152,
2006-07,30.044,
2006-10,35.612,
2007-01,40.584,
2007-04,36.330,
2007-07,34.998,
2007-10,35.505,
2008-01,43.319,
2008-04,37.189,
2008-07,39.891,
2008-10,41.333,
2009-01,41.260,
2009-04,32.501,
2009-07,33.446,
2009-10,39.241,
2010-01,44.537,
2010-04,33.405,
2010-07,40.815,
2010-10,48.913,
2011-01,53.272,
2011-04,40.680,
2011-07,42.062,
2011-10,53.798,
2012-01,59.280,
2012-04,52.575,
2012-07,46.236,
2012-10,55.674,
2013-01,65.789,
2013-04,59.791,
2013-07,48.679,
2013-10,57.006,
2014-01,64.723,Provisional value
2014-04,59.066,Provisional value
2014-07,50.238,Provisional value
2014-10,61.706,Provisional value
