"",BBFB1.Q.N.DE.DK.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:11,
1991-01,1501.124,
1991-04,1496.019,
1991-07,1512.372,
1991-10,1562.604,
1992-01,1580.728,
1992-04,1523.481,
1992-07,1691.324,
1992-10,1674.843,
1993-01,1461.409,
1993-04,1391.522,
1993-07,1373.365,
1993-10,1419.616,
1994-01,1521.529,
1994-04,1610.813,
1994-07,1651.538,
1994-10,1636.977,
1995-01,1837.359,
1995-04,1827.211,
1995-07,1854.527,
1995-10,1821.965,
1996-01,1857.561,
1996-04,1836.245,
1996-07,1770.467,
1996-10,1935.397,
1997-01,1987.347,
1997-04,2050.037,
1997-07,1982.614,
1997-10,2161.659,
1998-01,2091.789,
1998-04,2110.781,
1998-07,2069.632,
1998-10,2188.429,
1999-01,2105.258,
1999-04,2273.607,
1999-07,2148.485,
1999-10,2230.783,
2000-01,2250.018,
2000-04,2310.359,
2000-07,2258.174,
2000-10,2672.670,
2001-01,2567.046,
2001-04,2576.087,
2001-07,2629.675,
2001-10,2670.922,
2002-01,2613.898,
2002-04,2792.203,
2002-07,2772.778,
2002-10,3072.396,
2003-01,2924.997,
2003-04,2643.615,
2003-07,2752.290,
2003-10,2733.084,
2004-01,2654.334,
2004-04,2688.541,
2004-07,2800.172,
2004-10,3049.251,
2005-01,2902.065,
2005-04,3124.952,
2005-07,3124.767,
2005-10,3462.031,
2006-01,3481.506,
2006-04,3631.832,
2006-07,3577.594,
2006-10,3883.395,
2007-01,3897.076,
2007-04,3935.652,
2007-07,3856.211,
2007-10,4095.963,
2008-01,4053.269,
2008-04,4283.885,
2008-07,4111.167,
2008-10,3772.451,
2009-01,3347.352,
2009-04,3044.486,
2009-07,3081.886,
2009-10,3230.215,
2010-01,3316.280,
2010-04,3451.874,
2010-07,3532.806,
2010-10,4040.790,
2011-01,3765.603,
2011-04,3657.233,
2011-07,3850.554,
2011-10,3741.660,
2012-01,3786.689,
2012-04,3864.339,
2012-07,3776.978,
2012-10,3807.604,
2013-01,3880.666,
2013-04,4165.468,
2013-07,4176.289,
2013-10,4062.421,
2014-01,4128.182,Provisional value
2014-04,4222.207,Provisional value
2014-07,4252.726,Provisional value
