"",BBK01.OEHB12Q,BBK01.OEHB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:49,
2002-01,2.604,
2002-04,2.661,
2002-07,2.707,
2002-10,2.972,
2003-01,3.024,
2003-04,3.120,
2003-07,3.111,
2003-10,3.258,
2004-01,3.311,
2004-04,3.395,
2004-07,3.428,
2004-10,3.467,
2005-01,3.498,
2005-04,3.544,
2005-07,3.537,
2005-10,3.589,
2006-01,3.569,
2006-04,3.696,
2006-07,3.732,
2006-10,3.794,
2007-01,3.814,
2007-04,3.824,
2007-07,3.833,
2007-10,3.957,
2008-01,4.057,
2008-04,4.134,
2008-07,4.343,
2008-10,4.368,
2009-01,4.407,
2009-04,4.611,
2009-07,4.797,
2009-10,4.855,
2010-01,5.001,
2010-04,5.159,
2010-07,5.287,
2010-10,5.404,
2011-01,5.505,
2011-04,5.572,
2011-07,5.623,
2011-10,5.722,
2012-01,5.824,
2012-04,5.872,
2012-07,5.970,
2012-10,6.073,
2013-01,6.088,
2013-04,6.115,
2013-07,6.221,
2013-10,6.240,
2014-01,6.354,
2014-04,6.526,
2014-07,6.657,
