"",BBK01.OEAH06T,BBK01.OEAH06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:42,
2002-01,0.025,
2002-04,0.033,
2002-07,0.030,
2002-10,0.039,
2003-01,0.033,
2003-04,0.034,
2003-07,0.036,
2003-10,0.030,
2004-01,0.032,
2004-04,0.031,
2004-07,0.032,
2004-10,0.029,
2005-01,0.050,
2005-04,0.047,
2005-07,0.082,
2005-10,0.086,
2006-01,0.099,
2006-04,0.112,
2006-07,0.086,
2006-10,0.091,
2007-01,0.097,
2007-04,0.096,
2007-07,0.116,
2007-10,0.153,
2008-01,0.171,
2008-04,0.180,
2008-07,0.207,
2008-10,0.199,
2009-01,0.215,
2009-04,0.196,
2009-07,0.172,
2009-10,0.164,
2010-01,0.147,
2010-04,0.143,
2010-07,0.127,
2010-10,0.119,
2011-01,0.112,
2011-04,0.126,
2011-07,0.124,
2011-10,0.166,
2012-01,0.186,
2012-04,0.185,
2012-07,0.175,
2012-10,0.147,
2013-01,0.122,
2013-04,0.144,
2013-07,0.150,
2013-10,0.149,
2014-01,0.171,
2014-04,0.139,
2014-07,0.137,
