"",BBK01.OEBL02N,BBK01.OEBL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:08,
2002-01,24.924,
2002-04,27.220,
2002-07,26.032,
2002-10,27.548,
2003-01,27.486,
2003-04,27.827,
2003-07,27.908,
2003-10,29.968,
2004-01,28.654,
2004-04,29.538,
2004-07,28.943,
2004-10,14.530,
2005-01,21.222,
2005-04,20.696,
2005-07,20.833,
2005-10,21.765,
2006-01,21.563,
2006-04,21.872,
2006-07,20.243,
2006-10,20.388,
2007-01,20.149,
2007-04,20.955,
2007-07,21.093,
2007-10,21.819,
2008-01,21.709,
2008-04,21.332,
2008-07,21.543,
2008-10,23.898,
2009-01,25.274,
2009-04,26.970,
2009-07,27.336,
2009-10,28.917,
2010-01,29.630,
2010-04,30.749,
2010-07,30.566,
2010-10,30.861,
2011-01,30.465,
2011-04,30.897,
2011-07,31.367,
2011-10,31.548,
2012-01,31.379,
2012-04,32.294,
2012-07,33.739,
2012-10,34.957,
2013-01,35.976,
2013-04,38.139,
2013-07,38.170,
2013-10,39.241,
2014-01,39.345,
2014-04,40.666,
2014-07,41.367,
