"",BBK01.OELO03S,BBK01.OELO03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:36,
2002-01,0.128,
2002-04,0.181,
2002-07,0.160,
2002-10,0.164,
2003-01,0.166,
2003-04,0.159,
2003-07,0.151,
2003-10,0.173,
2004-01,0.183,
2004-04,0.141,
2004-07,0.164,
2004-10,0.158,
2005-01,0.180,
2005-04,0.149,
2005-07,0.137,
2005-10,0.132,
2006-01,0.155,
2006-04,0.168,
2006-07,0.156,
2006-10,0.174,
2007-01,0.207,
2007-04,0.167,
2007-07,0.158,
2007-10,0.157,
2008-01,0.191,
2008-04,0.173,
2008-07,0.166,
2008-10,0.181,
2009-01,0.171,
2009-04,0.165,
2009-07,0.156,
2009-10,0.148,
2010-01,0.188,
2010-04,0.116,
2010-07,0.107,
2010-10,0.128,
2011-01,0.128,
2011-04,0.127,
2011-07,0.127,
2011-10,0.128,
2012-01,0.138,
2012-04,0.123,
2012-07,0.116,
2012-10,0.124,
2013-01,0.131,
2013-04,0.119,
2013-07,0.111,
2013-10,0.113,
2014-01,0.130,
2014-04,0.126,
2014-07,0.114,
