"",BBK01.OEYB22G,BBK01.OEYB22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:30,
2002-01,2.266,
2002-04,1.758,
2002-07,2.324,
2002-10,3.332,
2003-01,3.964,
2003-04,3.071,
2003-07,3.629,
2003-10,4.826,
2004-01,4.470,
2004-04,2.876,
2004-07,3.294,
2004-10,4.108,
2005-01,3.841,
2005-04,3.286,
2005-07,2.562,
2005-10,2.535,
2006-01,3.114,
2006-04,2.763,
2006-07,3.087,
2006-10,2.332,
2007-01,2.006,
2007-04,1.802,
2007-07,3.345,
2007-10,2.971,
2008-01,2.431,
2008-04,2.668,
2008-07,2.499,
2008-10,2.521,
2009-01,3.955,
2009-04,2.680,
2009-07,2.846,
2009-10,3.108,
2010-01,4.027,
2010-04,3.617,
2010-07,4.239,
2010-10,3.877,
2011-01,5.389,
2011-04,5.798,
2011-07,5.953,
2011-10,4.650,
2012-01,6.519,
2012-04,6.625,
2012-07,6.793,
2012-10,3.120,
2013-01,2.701,
2013-04,2.090,
2013-07,0.623,
2013-10,0.456,
2014-01,0.808,
2014-04,0.928,
2014-07,1.056,
